  #N         exact        Simpson   Gauss-Legend          Filon             eS             eG             eF
 333       0.62415        0.23934        0.62415        0.74060        0.61653        0.00000            0.18658
 337       0.62415        0.29525        0.62415        0.73605        0.52695        0.00000            0.17928
 341       0.62415        0.33745        0.62415        0.73169        0.45934        0.00000            0.17230
 345       0.62415        0.37074        0.62415        0.72753        0.40601        0.00000            0.16563
 349       0.62415        0.39780        0.62415        0.72354        0.36265        0.00000            0.15925
 353       0.62415        0.42031        0.62415        0.71973        0.32659        0.00000            0.15314
 357       0.62415        0.43934        0.62415        0.71609        0.29610        0.00000            0.14730
 361       0.62415        0.45566        0.62415        0.71260        0.26995        0.00000            0.14171
 365       0.62415        0.46981        0.62415        0.70926        0.24727        0.00000            0.13636
 369       0.62415        0.48220        0.62415        0.70607        0.22743        0.00000            0.13125
 373       0.62415        0.49312        0.62415        0.70301        0.20994        0.00000            0.12635
 377       0.62415        0.50282        0.62415        0.70008        0.19440        0.00000            0.12166
 381       0.62415        0.51148        0.62415        0.69728        0.18052        0.00000            0.11717
 385       0.62415        0.51925        0.62415        0.69460        0.16806        0.00000            0.11287
 389       0.62415        0.52627        0.62415        0.69203        0.15683        0.00000            0.10875
 393       0.62415        0.53262        0.62415        0.68956        0.14665        0.00000            0.10480
 397       0.62415        0.53839        0.62415        0.68720        0.13741        0.00000            0.10102
 401       0.62415        0.54365        0.62415        0.68494        0.12897        0.00000            0.09740
 405       0.62415        0.54847        0.62415        0.68277        0.12126        0.00000            0.09392
 409       0.62415        0.55289        0.62415        0.68069        0.11418        0.00000            0.09060
 413       0.62415        0.55695        0.62415        0.67870        0.10767        0.00000            0.08740
 417       0.62415        0.56069        0.62415        0.67679        0.10167        0.00000            0.08434
 421       0.62415        0.56415        0.62415        0.67496        0.09612        0.00000            0.08140
 425       0.62415        0.56736        0.62415        0.67320        0.09099        0.00000            0.07858
 429       0.62415        0.57033        0.62415        0.67151        0.08623        0.00000            0.07588
 433       0.62415        0.57309        0.62415        0.66989        0.08180        0.00000            0.07328
 437       0.62415        0.57566        0.62415        0.66833        0.07768        0.00000            0.07079
 441       0.62415        0.57806        0.62415        0.66684        0.07384        0.00000            0.06839
 445       0.62415        0.58030        0.62415        0.66540        0.07026        0.00000            0.06609
 449       0.62415        0.58239        0.62415        0.66402        0.06690        0.00000            0.06389
 453       0.62415        0.58435        0.62415        0.66270        0.06376        0.00000            0.06176
 457       0.62415        0.58619        0.62415        0.66143        0.06082        0.00000            0.05972
 461       0.62415        0.58791        0.62415        0.66020        0.05806        0.00000            0.05776
 465       0.62415        0.58954        0.62415        0.65902        0.05546        0.00000            0.05588
 469       0.62415        0.59106        0.62415        0.65789        0.05302        0.00000            0.05406
 473       0.62415        0.59250        0.62415        0.65680        0.05071        0.00000            0.05232
 477       0.62415        0.59385        0.62415        0.65576        0.04854        0.00000            0.05064
 481       0.62415        0.59513        0.62415        0.65475        0.04650        0.00000            0.04902
 485       0.62415        0.59634        0.62415        0.65378        0.04456        0.00000            0.04747
 489       0.62415        0.59748        0.62415        0.65284        0.04273        0.00000            0.04597
 493       0.62415        0.59856        0.62415        0.65195        0.04100        0.00000            0.04453
 497       0.62415        0.59958        0.62415        0.65108        0.03936        0.00000            0.04315
 501       0.62415        0.60055        0.62415        0.65024        0.03781        0.00000            0.04181
 505       0.62415        0.60147        0.62415        0.64944        0.03634        0.00000            0.04052
 509       0.62415        0.60234        0.62415        0.64867        0.03494        0.00000            0.03928
 513       0.62415        0.60317        0.62415        0.64792        0.03361        0.00000            0.03808
 517       0.62415        0.60396        0.62415        0.64720        0.03235        0.00000            0.03693
 521       0.62415        0.60471        0.62415        0.64651        0.03115        0.00000            0.03582
 525       0.62415        0.60542        0.62415        0.64584        0.03000        0.00000            0.03475
 529       0.62415        0.60610        0.62415        0.64519        0.02891        0.00000            0.03371
 533       0.62415        0.60675        0.62415        0.64457        0.02788        0.00000            0.03271
 537       0.62415        0.60737        0.62415        0.64397        0.02689        0.00000            0.03175
 541       0.62415        0.60796        0.62415        0.64339        0.02594        0.00000            0.03082
 545       0.62415        0.60852        0.62415        0.64283        0.02504        0.00000            0.02992
 549       0.62415        0.60906        0.62415        0.64229        0.02418        0.00000            0.02906
