 #log10(N)         exact        Simpson   Gauss-Legend          Filon      log10(eS)      log10(eG)      log10(eF)
  2.416641     0.6241500      0.2792250      0.6225659      0.8682086     -0.2575643     -2.5954987          -0.407795
  2.423246     0.6241500      0.2471920      0.6240436      0.8583271     -0.2189960     -3.7684389          -0.425745
  2.429752     0.6241500      0.2143781      0.6241450      0.8488196     -0.1827468     -5.0952051          -0.443745
  2.436163     0.6241500      0.1804480      0.6241499      0.8396813     -0.1481976     -6.6974061          -0.461779
  2.442480     0.6241500      0.1450031      0.6241500      0.8309057     -0.1148203     -7.1237491          -0.479831
  2.448706     0.6241500      0.1075521      0.6241501      0.8224850     -0.0821363     -7.0834560          -0.497890
  2.454845     0.6241500      0.0674661      0.6241501      0.8144101     -0.0496803     -7.0826720          -0.515941
  2.460898     0.6241500      0.0239073      0.6241501      0.8066712     -0.0169621     -7.0826593          -0.533976
  2.466868     0.6241500     -0.0242942      0.6241501      0.7992577      0.0165836     -7.0826584          -0.551984
  2.472756     0.6241500     -0.0788623      0.6241501      0.7921588      0.0516739     -7.0826576          -0.569957
  2.478566     0.6241500     -0.1425204      0.6241501      0.7853634      0.0893197     -7.0826550          -0.587888
  2.484300     0.6241500     -0.2199916      0.6241501      0.7788604      0.1311263     -7.0826557          -0.605770
  2.489958     0.6241500     -0.3206760      0.6241501      0.7726384      0.1800628     -7.0826540          -0.623596
  2.495544     0.6241500     -0.4681769      0.6241501      0.7666865      0.2430637     -7.0826540          -0.641363
  2.501059     0.6241500     -0.7624416      0.6241501      0.7609936      0.3466596     -7.0826537          -0.659064
  2.506505     0.6241500     -0.2699161      0.6241501      0.7555490      0.1560807     -7.0826549          -0.676697
  2.511883     0.6241500      0.0309704      0.6241501      0.7503421     -0.0221028     -7.0826523          -0.694257
  2.517196     0.6241500      0.1598697      0.6241501      0.7453629     -0.1285087     -7.0826515          -0.711740
  2.522444     0.6241500      0.2393422      0.6241501      0.7406012     -0.2100451     -7.0826518          -0.729145
  2.527630     0.6241500      0.2952536      0.6241501      0.7360475     -0.2782299     -7.0826505          -0.746468
  2.532754     0.6241500      0.3374530      0.6241501      0.7316927     -0.3378658     -7.0826506          -0.763708
  2.537819     0.6241500      0.3707385      0.6241501      0.7275277     -0.3914627     -7.0826482          -0.780862
  2.542825     0.6241500      0.3978035      0.6241501      0.7235439     -0.4405152     -7.0826494          -0.797929
  2.547775     0.6241500      0.4203073      0.6241501      0.7197332     -0.4859939     -7.0826489          -0.814908
  2.552668     0.6241500      0.4393422      0.6241501      0.7160875     -0.5285686     -7.0826480          -0.831796
  2.557507     0.6241500      0.4556635      0.6241501      0.7125995     -0.5687239     -7.0826483          -0.848594
  2.562293     0.6241500      0.4698144      0.6241501      0.7092617     -0.6068230     -7.0826477          -0.865300
  2.567026     0.6241500      0.4821975      0.6241501      0.7060674     -0.6431460     -7.0826467          -0.881913
  2.571709     0.6241500      0.4931189      0.6241501      0.7030098     -0.6779145     -7.0826468          -0.898433
  2.576341     0.6241500      0.5028162      0.6241501      0.7000827     -0.7113070     -7.0826458          -0.914860
  2.580925     0.6241500      0.5114772      0.6241501      0.6972799     -0.7434699     -7.0826462          -0.931194
  2.585461     0.6241500      0.5192527      0.6241501      0.6945959     -0.7745248     -7.0826454          -0.947433
  2.589950     0.6241500      0.5262653      0.6241501      0.6920251     -0.8045744     -7.0826449          -0.963578
  2.594393     0.6241500      0.5326159      0.6241501      0.6895623     -0.8337059     -7.0826462          -0.979630
  2.598791     0.6241500      0.5383881      0.6241501      0.6872025     -0.8619944     -7.0826434          -0.995587
  2.603144     0.6241500      0.5436522      0.6241501      0.6849410     -0.8895051     -7.0826438          -1.011450
  2.607455     0.6241500      0.5484677      0.6241501      0.6827732     -0.9162948     -7.0826431          -1.027220
  2.611723     0.6241500      0.5528852      0.6241501      0.6806949     -0.9424138     -7.0826439          -1.042896
  2.615950     0.6241500      0.5569479      0.6241501      0.6787020     -0.9679063     -7.0826424          -1.058479
  2.620136     0.6241500      0.5606934      0.6241501      0.6767905     -0.9928121     -7.0826425          -1.073969
  2.624282     0.6241500      0.5641540      0.6241501      0.6749569     -1.0171664     -7.0826422          -1.089366
  2.628389     0.6241500      0.5673579      0.6241501      0.6731975     -1.0410013     -7.0826423          -1.104672
  2.632457     0.6241500      0.5703300      0.6241501      0.6715091     -1.0643455     -7.0826412          -1.119886
  2.636488     0.6241500      0.5730920      0.6241501      0.6698883     -1.0872253     -7.0826420          -1.135009
  2.640481     0.6241500      0.5756631      0.6241501      0.6683322     -1.1096644     -7.0826417          -1.150041
  2.644439     0.6241500      0.5780603      0.6241501      0.6668379     -1.1316847     -7.0826401          -1.164984
  2.648360     0.6241500      0.5802987      0.6241501      0.6654027     -1.1533062     -7.0826414          -1.179837
  2.652246     0.6241500      0.5823918      0.6241501      0.6640238     -1.1745473     -7.0826394          -1.194601
  2.656098     0.6241500      0.5843517      0.6241501      0.6626989     -1.1954250     -7.0826401          -1.209277
  2.659916     0.6241500      0.5861893      0.6241501      0.6614255     -1.2159550     -7.0826390          -1.223865
  2.663701     0.6241500      0.5879143      0.6241501      0.6602015     -1.2361518     -7.0826400          -1.238366
  2.667453     0.6241500      0.5895354      0.6241501      0.6590245     -1.2560291     -7.0826396          -1.252781
  2.671173     0.6241500      0.5910606      0.6241501      0.6578926     -1.2755995     -7.0826390          -1.267110
  2.674861     0.6241500      0.5924970      0.6241501      0.6568039     -1.2948747     -7.0826393          -1.281354
  2.678518     0.6241500      0.5938514      0.6241501      0.6557564     -1.3138659     -7.0826389          -1.295514
  2.682145     0.6241500      0.5951294      0.6241501      0.6547484     -1.3325832     -7.0826385          -1.309590
  2.685742     0.6241500      0.5963367      0.6241501      0.6537783     -1.3510365     -7.0826392          -1.323582
  2.689309     0.6241500      0.5974781      0.6241501      0.6528443     -1.3692349     -7.0826386          -1.337493
  2.692847     0.6241500      0.5985581      0.6241501      0.6519451     -1.3871869     -7.0826384          -1.351321
  2.696356     0.6241500      0.5995810      0.6241501      0.6510790     -1.4049008     -7.0826377          -1.365069
  2.699838     0.6241500      0.6005504      0.6241501      0.6502447     -1.4223841     -7.0828715          -1.378736
  2.703291     0.6241500      0.6014699      0.6241501      0.6494409     -1.4396442     -7.0828670          -1.392324
  2.706718     0.6241500      0.6023427      0.6241501      0.6486664     -1.4566878     -7.0828658          -1.405833
  2.710117     0.6241500      0.6031718      0.6241501      0.6479198     -1.4735216     -7.0828614          -1.419263
  2.713491     0.6241500      0.6039600      0.6241501      0.6472001     -1.4901516     -7.0828571          -1.432616
  2.716838     0.6241500      0.6047096      0.6241501      0.6465062     -1.5065839     -7.0828537          -1.445891
  2.720159     0.6241500      0.6054231      0.6241501      0.6458369     -1.5228239     -7.0828506          -1.459091
  2.723456     0.6241500      0.6061027      0.6241501      0.6451914     -1.5388771     -7.0828476          -1.472215
