 #  Runge-Kutta for ideal harmonic oscillator
                #t                 x        analytical    Relative-error            Energy          log(Err)
 
      0.145500D+02     -0.951418D+00     -0.309017D+00      0.207885D+01      0.196636D+02     -0.538267D+01
      0.146000D+02     -0.811655D+00     -0.587785D+00      0.380871D+00      0.196633D+02     -0.537981D+01
      0.146500D+02     -0.592457D+00     -0.809017D+00      0.267682D+00      0.196631D+02     -0.537697D+01
      0.147000D+02     -0.315278D+00     -0.951057D+00      0.668497D+00      0.196628D+02     -0.537413D+01
      0.147500D+02     -0.724538D-02     -0.100000D+01      0.992755D+00      0.196626D+02     -0.537130D+01
      0.148000D+02      0.301492D+00     -0.951057D+00      0.131701D+01      0.196623D+02     -0.536848D+01
      0.148500D+02      0.580718D+00     -0.809017D+00      0.171781D+01      0.196620D+02     -0.536567D+01
      0.149000D+02      0.803105D+00     -0.587785D+00      0.236632D+01      0.196618D+02     -0.536287D+01
      0.149500D+02      0.946888D+00     -0.309017D+00      0.406419D+01      0.196615D+02     -0.536007D+01
      0.150000D+02      0.997997D+00      0.486601D-12      0.205096D+13      0.196613D+02     -0.535728D+01
      0.150500D+02      0.951429D+00      0.309017D+00      0.207889D+01      0.196610D+02     -0.535450D+01
      0.151000D+02      0.811745D+00      0.587785D+00      0.381023D+00      0.196607D+02     -0.535173D+01
      0.151500D+02      0.592616D+00      0.809017D+00      0.267486D+00      0.196605D+02     -0.534896D+01
      0.152000D+02      0.315490D+00      0.951057D+00      0.668274D+00      0.196602D+02     -0.534621D+01
      0.152500D+02      0.749049D-02      0.100000D+01      0.992510D+00      0.196600D+02     -0.534346D+01
      0.153000D+02     -0.301238D+00      0.951057D+00      0.131674D+01      0.196597D+02     -0.534071D+01
      0.153500D+02     -0.580480D+00      0.809017D+00      0.171751D+01      0.196595D+02     -0.533798D+01
      0.154000D+02     -0.802906D+00      0.587785D+00      0.236599D+01      0.196592D+02     -0.533525D+01
      0.154500D+02     -0.946748D+00      0.309017D+00      0.406374D+01      0.196589D+02     -0.533253D+01
      0.155000D+02     -0.997929D+00     -0.532663D-12      0.187347D+13      0.196587D+02     -0.532982D+01
      0.155500D+02     -0.951440D+00     -0.309017D+00      0.207893D+01      0.196584D+02     -0.532711D+01
      0.156000D+02     -0.811834D+00     -0.587785D+00      0.381175D+00      0.196582D+02     -0.532442D+01
      0.156500D+02     -0.592775D+00     -0.809017D+00      0.267290D+00      0.196579D+02     -0.532173D+01
      0.157000D+02     -0.315702D+00     -0.951057D+00      0.668051D+00      0.196576D+02     -0.531904D+01
      0.157500D+02     -0.773556D-02     -0.100000D+01      0.992264D+00      0.196574D+02     -0.531637D+01
      0.158000D+02      0.300984D+00     -0.951057D+00      0.131647D+01      0.196571D+02     -0.531370D+01
      0.158500D+02      0.580242D+00     -0.809017D+00      0.171722D+01      0.196569D+02     -0.531104D+01
      0.159000D+02      0.802708D+00     -0.587785D+00      0.236565D+01      0.196566D+02     -0.530838D+01
      0.159500D+02      0.946608D+00     -0.309017D+00      0.406329D+01      0.196563D+02     -0.530573D+01
      0.160000D+02      0.997861D+00      0.578726D-12      0.172424D+13      0.196561D+02     -0.530309D+01
      0.160500D+02      0.951452D+00      0.309017D+00      0.207896D+01      0.196558D+02     -0.530046D+01
      0.161000D+02      0.811923D+00      0.587785D+00      0.381327D+00      0.196556D+02     -0.529783D+01
      0.161500D+02      0.592933D+00      0.809017D+00      0.267095D+00      0.196553D+02     -0.529521D+01
      0.162000D+02      0.315914D+00      0.951057D+00      0.667828D+00      0.196550D+02     -0.529260D+01
      0.162500D+02      0.798060D-02      0.100000D+01      0.992019D+00      0.196548D+02     -0.529000D+01
      0.163000D+02     -0.300730D+00      0.951057D+00      0.131621D+01      0.196545D+02     -0.528740D+01
      0.163500D+02     -0.580004D+00      0.809017D+00      0.171692D+01      0.196543D+02     -0.528480D+01
      0.164000D+02     -0.802509D+00      0.587785D+00      0.236531D+01      0.196540D+02     -0.528222D+01
      0.164500D+02     -0.946468D+00      0.309017D+00      0.406283D+01      0.196537D+02     -0.527964D+01
      0.165000D+02     -0.997793D+00     -0.624789D-12      0.159701D+13      0.196535D+02     -0.527707D+01
      0.165500D+02     -0.951463D+00     -0.309017D+00      0.207900D+01      0.196532D+02     -0.527450D+01
      0.166000D+02     -0.812013D+00     -0.587785D+00      0.381478D+00      0.196530D+02     -0.527194D+01
      0.166500D+02     -0.593091D+00     -0.809017D+00      0.266899D+00      0.196527D+02     -0.526939D+01
      0.167000D+02     -0.316126D+00     -0.951057D+00      0.667605D+00      0.196525D+02     -0.526684D+01
      0.167500D+02     -0.822561D-02     -0.100000D+01      0.991774D+00      0.196522D+02     -0.526430D+01
      0.168000D+02      0.300476D+00     -0.951057D+00      0.131594D+01      0.196519D+02     -0.526177D+01
      0.168500D+02      0.579766D+00     -0.809017D+00      0.171663D+01      0.196517D+02     -0.525924D+01
      0.169000D+02      0.802310D+00     -0.587785D+00      0.236497D+01      0.196514D+02     -0.525672D+01
      0.169500D+02      0.946328D+00     -0.309017D+00      0.406238D+01      0.196512D+02     -0.525421D+01
      0.170000D+02      0.997726D+00      0.670852D-12      0.148725D+13      0.196509D+02     -0.525170D+01
      0.170500D+02      0.951474D+00      0.309017D+00      0.207904D+01      0.196506D+02     -0.524920D+01
      0.171000D+02      0.812102D+00      0.587785D+00      0.381630D+00      0.196504D+02     -0.524671D+01
      0.171500D+02      0.593250D+00      0.809017D+00      0.266703D+00      0.196501D+02     -0.524422D+01
      0.172000D+02      0.316338D+00      0.951057D+00      0.667382D+00      0.196499D+02     -0.524174D+01
      0.172500D+02      0.847059D-02      0.100000D+01      0.991529D+00      0.196496D+02     -0.523926D+01
      0.173000D+02     -0.300222D+00      0.951057D+00      0.131567D+01      0.196493D+02     -0.523679D+01
      0.173500D+02     -0.579528D+00      0.809017D+00      0.171634D+01      0.196491D+02     -0.523433D+01
      0.174000D+02     -0.802111D+00      0.587785D+00      0.236463D+01      0.196488D+02     -0.523187D+01
      0.174500D+02     -0.946188D+00      0.309017D+00      0.406193D+01      0.196486D+02     -0.522942D+01
      0.175000D+02     -0.997658D+00     -0.716915D-12      0.139160D+13      0.196483D+02     -0.522697D+01
      0.175500D+02     -0.951485D+00     -0.309017D+00      0.207907D+01      0.196480D+02     -0.522453D+01
      0.176000D+02     -0.812191D+00     -0.587785D+00      0.381781D+00      0.196478D+02     -0.522210D+01
      0.176500D+02     -0.593408D+00     -0.809017D+00      0.266507D+00      0.196475D+02     -0.521967D+01
      0.177000D+02     -0.316550D+00     -0.951057D+00      0.667159D+00      0.196473D+02     -0.521725D+01
      0.177500D+02     -0.871553D-02     -0.100000D+01      0.991284D+00      0.196470D+02     -0.521483D+01
      0.178000D+02      0.299968D+00     -0.951057D+00      0.131541D+01      0.196468D+02     -0.521242D+01
      0.178500D+02      0.579290D+00     -0.809017D+00      0.171604D+01      0.196465D+02     -0.521002D+01
      0.179000D+02      0.801912D+00     -0.587785D+00      0.236429D+01      0.196462D+02     -0.520762D+01
      0.179500D+02      0.946047D+00     -0.309017D+00      0.406147D+01      0.196460D+02     -0.520523D+01
      0.180000D+02      0.997590D+00      0.748767D-12      0.133231D+13      0.196457D+02     -0.520284D+01
      0.180500D+02      0.951497D+00      0.309017D+00      0.207911D+01      0.196455D+02     -0.520046D+01
      0.181000D+02      0.812280D+00      0.587785D+00      0.381933D+00      0.196452D+02     -0.519808D+01
      0.181500D+02      0.593566D+00      0.809017D+00      0.266312D+00      0.196449D+02     -0.519571D+01
      0.182000D+02      0.316762D+00      0.951057D+00      0.666936D+00      0.196447D+02     -0.519335D+01
      0.182500D+02      0.896044D-02      0.100000D+01      0.991040D+00      0.196444D+02     -0.519099D+01
      0.183000D+02     -0.299714D+00      0.951057D+00      0.131514D+01      0.196442D+02     -0.518863D+01
      0.183500D+02     -0.579052D+00      0.809017D+00      0.171575D+01      0.196439D+02     -0.518629D+01
      0.184000D+02     -0.801713D+00      0.587785D+00      0.236396D+01      0.196436D+02     -0.518394D+01
      0.184500D+02     -0.945907D+00      0.309017D+00      0.406102D+01      0.196434D+02     -0.518161D+01
      0.185000D+02     -0.997522D+00     -0.794829D-12      0.125501D+13      0.196431D+02     -0.517928D+01
      0.185500D+02     -0.951508D+00     -0.309017D+00      0.207914D+01      0.196429D+02     -0.517695D+01
      0.186000D+02     -0.812369D+00     -0.587785D+00      0.382084D+00      0.196426D+02     -0.517463D+01
      0.186500D+02     -0.593724D+00     -0.809017D+00      0.266116D+00      0.196423D+02     -0.517232D+01
      0.187000D+02     -0.316974D+00     -0.951057D+00      0.666714D+00      0.196421D+02     -0.517001D+01
      0.187500D+02     -0.920532D-02     -0.100000D+01      0.990795D+00      0.196418D+02     -0.516770D+01
      0.188000D+02      0.299461D+00     -0.951057D+00      0.131487D+01      0.196416D+02     -0.516540D+01
      0.188500D+02      0.578814D+00     -0.809017D+00      0.171545D+01      0.196413D+02     -0.516311D+01
      0.189000D+02      0.801514D+00     -0.587785D+00      0.236362D+01      0.196411D+02     -0.516082D+01
      0.189500D+02      0.945767D+00     -0.309017D+00      0.406056D+01      0.196408D+02     -0.515854D+01
      0.190000D+02      0.997454D+00      0.840892D-12      0.118619D+13      0.196405D+02     -0.515626D+01
      0.190500D+02      0.951518D+00      0.309017D+00      0.207918D+01      0.196403D+02     -0.515399D+01
      0.191000D+02      0.812458D+00      0.587785D+00      0.382235D+00      0.196400D+02     -0.515172D+01
      0.191500D+02      0.593882D+00      0.809017D+00      0.265921D+00      0.196398D+02     -0.514946D+01
      0.192000D+02      0.317186D+00      0.951057D+00      0.666491D+00      0.196395D+02     -0.514720D+01
      0.192500D+02      0.945016D-02      0.100000D+01      0.990550D+00      0.196392D+02     -0.514495D+01
      0.193000D+02     -0.299207D+00      0.951057D+00      0.131460D+01      0.196390D+02     -0.514270D+01
      0.193500D+02     -0.578576D+00      0.809017D+00      0.171516D+01      0.196387D+02     -0.514046D+01
      0.194000D+02     -0.801315D+00      0.587785D+00      0.236328D+01      0.196385D+02     -0.513823D+01
      0.194500D+02     -0.945626D+00      0.309017D+00      0.406011D+01      0.196382D+02     -0.513599D+01
      0.195000D+02     -0.997386D+00     -0.886955D-12      0.112451D+13      0.196379D+02     -0.513377D+01
      0.195500D+02     -0.951529D+00     -0.309017D+00      0.207921D+01      0.196377D+02     -0.513154D+01
      0.196000D+02     -0.812546D+00     -0.587785D+00      0.382386D+00      0.196374D+02     -0.512933D+01
      0.196500D+02     -0.594040D+00     -0.809017D+00      0.265726D+00      0.196372D+02     -0.512712D+01
      0.197000D+02     -0.317398D+00     -0.951057D+00      0.666268D+00      0.196369D+02     -0.512491D+01
      0.197500D+02     -0.969498D-02     -0.100000D+01      0.990305D+00      0.196366D+02     -0.512271D+01
      0.198000D+02      0.298953D+00     -0.951057D+00      0.131434D+01      0.196364D+02     -0.512051D+01
      0.198500D+02      0.578338D+00     -0.809017D+00      0.171486D+01      0.196361D+02     -0.511832D+01
      0.199000D+02      0.801116D+00     -0.587785D+00      0.236294D+01      0.196359D+02     -0.511613D+01
      0.199500D+02      0.945486D+00     -0.309017D+00      0.405966D+01      0.196356D+02     -0.511395D+01
      0.200000D+02      0.997318D+00      0.933018D-12      0.106892D+13      0.196354D+02     -0.511177D+01
      0.200500D+02      0.951540D+00      0.309017D+00      0.207925D+01      0.196351D+02     -0.510960D+01
      0.201000D+02      0.812635D+00      0.587785D+00      0.382537D+00      0.196348D+02     -0.510743D+01
      0.201500D+02      0.594198D+00      0.809017D+00      0.265530D+00      0.196346D+02     -0.510526D+01
      0.202000D+02      0.317610D+00      0.951057D+00      0.666045D+00      0.196343D+02     -0.510311D+01
      0.202500D+02      0.993975D-02      0.100000D+01      0.990060D+00      0.196341D+02     -0.510095D+01
      0.203000D+02     -0.298699D+00      0.951057D+00      0.131407D+01      0.196338D+02     -0.509880D+01
      0.203500D+02     -0.578099D+00      0.809017D+00      0.171457D+01      0.196335D+02     -0.509666D+01
      0.204000D+02     -0.800917D+00      0.587785D+00      0.236260D+01      0.196333D+02     -0.509452D+01
      0.204500D+02     -0.945345D+00      0.309017D+00      0.405920D+01      0.196330D+02     -0.509238D+01
      0.205000D+02     -0.997249D+00     -0.979081D-12      0.101856D+13      0.196328D+02     -0.509025D+01
      0.205500D+02     -0.951551D+00     -0.309017D+00      0.207928D+01      0.196325D+02     -0.508812D+01
      0.206000D+02     -0.812724D+00     -0.587785D+00      0.382688D+00      0.196322D+02     -0.508600D+01
      0.206500D+02     -0.594356D+00     -0.809017D+00      0.265335D+00      0.196320D+02     -0.508388D+01
      0.207000D+02     -0.317821D+00     -0.951057D+00      0.665823D+00      0.196317D+02     -0.508177D+01
      0.207500D+02     -0.101845D-01     -0.100000D+01      0.989815D+00      0.196315D+02     -0.507966D+01
      0.208000D+02      0.298445D+00     -0.951057D+00      0.131380D+01      0.196312D+02     -0.507756D+01
      0.208500D+02      0.577861D+00     -0.809017D+00      0.171428D+01      0.196310D+02     -0.507546D+01
      0.209000D+02      0.800718D+00     -0.587785D+00      0.236226D+01      0.196307D+02     -0.507336D+01
      0.209500D+02      0.945205D+00     -0.309017D+00      0.405875D+01      0.196304D+02     -0.507127D+01
      0.210000D+02      0.997181D+00      0.102514D-11      0.972723D+12      0.196302D+02     -0.506918D+01
      0.210500D+02      0.951562D+00      0.309017D+00      0.207932D+01      0.196299D+02     -0.506710D+01
      0.211000D+02      0.812812D+00      0.587785D+00      0.382839D+00      0.196297D+02     -0.506502D+01
      0.211500D+02      0.594514D+00      0.809017D+00      0.265140D+00      0.196294D+02     -0.506295D+01
      0.212000D+02      0.318033D+00      0.951057D+00      0.665600D+00      0.196291D+02     -0.506088D+01
      0.212500D+02      0.104292D-01      0.100000D+01      0.989571D+00      0.196289D+02     -0.505882D+01
      0.213000D+02     -0.298191D+00      0.951057D+00      0.131354D+01      0.196286D+02     -0.505676D+01
      0.213500D+02     -0.577623D+00      0.809017D+00      0.171398D+01      0.196284D+02     -0.505470D+01
      0.214000D+02     -0.800519D+00      0.587785D+00      0.236192D+01      0.196281D+02     -0.505265D+01
      0.214500D+02     -0.945064D+00      0.309017D+00      0.405829D+01      0.196278D+02     -0.505060D+01
      0.215000D+02     -0.997113D+00     -0.107121D-11      0.930832D+12      0.196276D+02     -0.504856D+01
      0.215500D+02     -0.951572D+00     -0.309017D+00      0.207935D+01      0.196273D+02     -0.504652D+01
      0.216000D+02     -0.812901D+00     -0.587785D+00      0.382990D+00      0.196271D+02     -0.504448D+01
      0.216500D+02     -0.594672D+00     -0.809017D+00      0.264945D+00      0.196268D+02     -0.504245D+01
      0.217000D+02     -0.318245D+00     -0.951057D+00      0.665378D+00      0.196266D+02     -0.504042D+01
      0.217500D+02     -0.106739D-01     -0.100000D+01      0.989326D+00      0.196263D+02     -0.503840D+01
      0.218000D+02      0.297937D+00     -0.951057D+00      0.131327D+01      0.196260D+02     -0.503638D+01
      0.218500D+02      0.577385D+00     -0.809017D+00      0.171369D+01      0.196258D+02     -0.503437D+01
      0.219000D+02      0.800320D+00     -0.587785D+00      0.236159D+01      0.196255D+02     -0.503236D+01
      0.219500D+02      0.944923D+00     -0.309017D+00      0.405784D+01      0.196253D+02     -0.503035D+01
      0.220000D+02      0.997044D+00      0.111727D-11      0.892394D+12      0.196250D+02     -0.502835D+01
      0.220500D+02      0.951583D+00      0.309017D+00      0.207939D+01      0.196247D+02     -0.502635D+01
      0.221000D+02      0.812989D+00      0.587785D+00      0.383140D+00      0.196245D+02     -0.502436D+01
      0.221500D+02      0.594830D+00      0.809017D+00      0.264750D+00      0.196242D+02     -0.502237D+01
      0.222000D+02      0.318456D+00      0.951057D+00      0.665155D+00      0.196240D+02     -0.502038D+01
      0.222500D+02      0.109185D-01      0.100000D+01      0.989081D+00      0.196237D+02     -0.501840D+01
      0.223000D+02     -0.297684D+00      0.951057D+00      0.131300D+01      0.196234D+02     -0.501642D+01
      0.223500D+02     -0.577147D+00      0.809017D+00      0.171339D+01      0.196232D+02     -0.501444D+01
      0.224000D+02     -0.800121D+00      0.587785D+00      0.236125D+01      0.196229D+02     -0.501247D+01
      0.224500D+02     -0.944783D+00      0.309017D+00      0.405738D+01      0.196227D+02     -0.501051D+01
      0.225000D+02     -0.996976D+00     -0.116333D-11      0.857000D+12      0.196224D+02     -0.500854D+01
      0.225500D+02     -0.951593D+00     -0.309017D+00      0.207942D+01      0.196222D+02     -0.500659D+01
      0.226000D+02     -0.813078D+00     -0.587785D+00      0.383291D+00      0.196219D+02     -0.500463D+01
      0.226500D+02     -0.594987D+00     -0.809017D+00      0.264555D+00      0.196216D+02     -0.500268D+01
      0.227000D+02     -0.318668D+00     -0.951057D+00      0.664933D+00      0.196214D+02     -0.500073D+01
      0.227500D+02     -0.111632D-01     -0.100000D+01      0.988837D+00      0.196211D+02     -0.499879D+01
      0.228000D+02      0.297430D+00     -0.951057D+00      0.131274D+01      0.196209D+02     -0.499685D+01
      0.228500D+02      0.576909D+00     -0.809017D+00      0.171310D+01      0.196206D+02     -0.499491D+01
      0.229000D+02      0.799922D+00     -0.587785D+00      0.236091D+01      0.196203D+02     -0.499298D+01
      0.229500D+02      0.944642D+00     -0.309017D+00      0.405693D+01      0.196201D+02     -0.499105D+01
      0.230000D+02      0.996907D+00      0.120939D-11      0.824303D+12      0.196198D+02     -0.498913D+01
      0.230500D+02      0.951604D+00      0.309017D+00      0.207945D+01      0.196196D+02     -0.498721D+01
      0.231000D+02      0.813166D+00      0.587785D+00      0.383441D+00      0.196193D+02     -0.498529D+01
      0.231500D+02      0.595145D+00      0.809017D+00      0.264360D+00      0.196190D+02     -0.498337D+01
      0.232000D+02      0.318879D+00      0.951057D+00      0.664711D+00      0.196188D+02     -0.498146D+01
      0.232500D+02      0.114077D-01      0.100000D+01      0.988592D+00      0.196185D+02     -0.497956D+01
      0.233000D+02     -0.297176D+00      0.951057D+00      0.131247D+01      0.196183D+02     -0.497766D+01
      0.233500D+02     -0.576671D+00      0.809017D+00      0.171280D+01      0.196180D+02     -0.497576D+01
      0.234000D+02     -0.799722D+00      0.587785D+00      0.236057D+01      0.196178D+02     -0.497386D+01
      0.234500D+02     -0.944501D+00      0.309017D+00      0.405647D+01      0.196175D+02     -0.497197D+01
      0.235000D+02     -0.996839D+00     -0.125546D-11      0.794005D+12      0.196172D+02     -0.497008D+01
      0.235500D+02     -0.951614D+00     -0.309017D+00      0.207949D+01      0.196170D+02     -0.496820D+01
      0.236000D+02     -0.813254D+00     -0.587785D+00      0.383591D+00      0.196167D+02     -0.496632D+01
      0.236500D+02     -0.595302D+00     -0.809017D+00      0.264166D+00      0.196165D+02     -0.496444D+01
      0.237000D+02     -0.319090D+00     -0.951057D+00      0.664488D+00      0.196162D+02     -0.496256D+01
      0.237500D+02     -0.116523D-01     -0.100000D+01      0.988348D+00      0.196159D+02     -0.496069D+01
      0.238000D+02      0.296922D+00     -0.951057D+00      0.131220D+01      0.196157D+02     -0.495883D+01
      0.238500D+02      0.576433D+00     -0.809017D+00      0.171251D+01      0.196154D+02     -0.495696D+01
      0.239000D+02      0.799523D+00     -0.587785D+00      0.236023D+01      0.196152D+02     -0.495510D+01
      0.239500D+02      0.944360D+00     -0.309017D+00      0.405601D+01      0.196149D+02     -0.495325D+01
      0.240000D+02      0.996770D+00      0.130152D-11      0.765851D+12      0.196146D+02     -0.495139D+01
      0.240500D+02      0.951624D+00      0.309017D+00      0.207952D+01      0.196144D+02     -0.494954D+01
      0.241000D+02      0.813343D+00      0.587785D+00      0.383741D+00      0.196141D+02     -0.494770D+01
      0.241500D+02      0.595460D+00      0.809017D+00      0.263971D+00      0.196139D+02     -0.494586D+01
      0.242000D+02      0.319302D+00      0.951057D+00      0.664266D+00      0.196136D+02     -0.494402D+01
      0.242500D+02      0.118968D-01      0.100000D+01      0.988103D+00      0.196134D+02     -0.494218D+01
      0.243000D+02     -0.296668D+00      0.951057D+00      0.131194D+01      0.196131D+02     -0.494035D+01
      0.243500D+02     -0.576194D+00      0.809017D+00      0.171222D+01      0.196128D+02     -0.493852D+01
      0.244000D+02     -0.799324D+00      0.587785D+00      0.235989D+01      0.196126D+02     -0.493669D+01
      0.244500D+02     -0.944220D+00      0.309017D+00      0.405556D+01      0.196123D+02     -0.493487D+01
      0.245000D+02     -0.996702D+00     -0.131916D-11      0.755557D+12      0.196121D+02     -0.493305D+01
      0.245500D+02     -0.951635D+00     -0.309017D+00      0.207955D+01      0.196118D+02     -0.493124D+01
      0.246000D+02     -0.813431D+00     -0.587785D+00      0.383891D+00      0.196115D+02     -0.492942D+01
      0.246500D+02     -0.595617D+00     -0.809017D+00      0.263776D+00      0.196113D+02     -0.492762D+01
      0.247000D+02     -0.319513D+00     -0.951057D+00      0.664044D+00      0.196110D+02     -0.492581D+01
      0.247500D+02     -0.121413D-01     -0.100000D+01      0.987859D+00      0.196108D+02     -0.492401D+01
      0.248000D+02      0.296415D+00     -0.951057D+00      0.131167D+01      0.196105D+02     -0.492221D+01
      0.248500D+02      0.575956D+00     -0.809017D+00      0.171192D+01      0.196103D+02     -0.492041D+01
      0.249000D+02      0.799125D+00     -0.587785D+00      0.235955D+01      0.196100D+02     -0.491862D+01
      0.249500D+02      0.944079D+00     -0.309017D+00      0.405510D+01      0.196097D+02     -0.491683D+01
      0.250000D+02      0.996633D+00      0.136522D-11      0.730014D+12      0.196095D+02     -0.491504D+01
      0.250500D+02      0.951645D+00      0.309017D+00      0.207959D+01      0.196092D+02     -0.491326D+01
      0.251000D+02      0.813519D+00      0.587785D+00      0.384041D+00      0.196090D+02     -0.491148D+01
      0.251500D+02      0.595775D+00      0.809017D+00      0.263582D+00      0.196087D+02     -0.490970D+01
      0.252000D+02      0.319724D+00      0.951057D+00      0.663822D+00      0.196084D+02     -0.490793D+01
      0.252500D+02      0.123857D-01      0.100000D+01      0.987614D+00      0.196082D+02     -0.490616D+01
      0.253000D+02     -0.296161D+00      0.951057D+00      0.131140D+01      0.196079D+02     -0.490439D+01
      0.253500D+02     -0.575718D+00      0.809017D+00      0.171163D+01      0.196077D+02     -0.490263D+01
      0.254000D+02     -0.798925D+00      0.587785D+00      0.235921D+01      0.196074D+02     -0.490087D+01
      0.254500D+02     -0.943938D+00      0.309017D+00      0.405465D+01      0.196071D+02     -0.489911D+01
      0.255000D+02     -0.996564D+00     -0.141129D-11      0.706139D+12      0.196069D+02     -0.489736D+01
      0.255500D+02     -0.951655D+00     -0.309017D+00      0.207962D+01      0.196066D+02     -0.489560D+01
      0.256000D+02     -0.813607D+00     -0.587785D+00      0.384191D+00      0.196064D+02     -0.489386D+01
      0.256500D+02     -0.595932D+00     -0.809017D+00      0.263387D+00      0.196061D+02     -0.489211D+01
      0.257000D+02     -0.319936D+00     -0.951057D+00      0.663600D+00      0.196059D+02     -0.489037D+01
      0.257500D+02     -0.126301D-01     -0.100000D+01      0.987370D+00      0.196056D+02     -0.488863D+01
      0.258000D+02      0.295907D+00     -0.951057D+00      0.131114D+01      0.196053D+02     -0.488689D+01
      0.258500D+02      0.575480D+00     -0.809017D+00      0.171133D+01      0.196051D+02     -0.488516D+01
      0.259000D+02      0.798726D+00     -0.587785D+00      0.235887D+01      0.196048D+02     -0.488343D+01
      0.259500D+02      0.943797D+00     -0.309017D+00      0.405419D+01      0.196046D+02     -0.488170D+01
      0.260000D+02      0.996495D+00      0.145735D-11      0.683772D+12      0.196043D+02     -0.487998D+01
      0.260500D+02      0.951665D+00      0.309017D+00      0.207965D+01      0.196040D+02     -0.487826D+01
      0.261000D+02      0.813695D+00      0.587785D+00      0.384341D+00      0.196038D+02     -0.487654D+01
      0.261500D+02      0.596089D+00      0.809017D+00      0.263193D+00      0.196035D+02     -0.487482D+01
      0.262000D+02      0.320147D+00      0.951057D+00      0.663378D+00      0.196033D+02     -0.487311D+01
      0.262500D+02      0.128745D-01      0.100000D+01      0.987125D+00      0.196030D+02     -0.487140D+01
      0.263000D+02     -0.295654D+00      0.951057D+00      0.131087D+01      0.196028D+02     -0.486969D+01
      0.263500D+02     -0.575242D+00      0.809017D+00      0.171104D+01      0.196025D+02     -0.486799D+01
      0.264000D+02     -0.798527D+00      0.587785D+00      0.235853D+01      0.196022D+02     -0.486629D+01
      0.264500D+02     -0.943656D+00      0.309017D+00      0.405373D+01      0.196020D+02     -0.486459D+01
      0.265000D+02     -0.996427D+00     -0.150341D-11      0.662776D+12      0.196017D+02     -0.486290D+01
      0.265500D+02     -0.951675D+00     -0.309017D+00      0.207969D+01      0.196015D+02     -0.486121D+01
      0.266000D+02     -0.813783D+00     -0.587785D+00      0.384490D+00      0.196012D+02     -0.485952D+01
      0.266500D+02     -0.596247D+00     -0.809017D+00      0.262999D+00      0.196009D+02     -0.485783D+01
      0.267000D+02     -0.320358D+00     -0.951057D+00      0.663156D+00      0.196007D+02     -0.485615D+01
      0.267500D+02     -0.131189D-01     -0.100000D+01      0.986881D+00      0.196004D+02     -0.485447D+01
      0.268000D+02      0.295400D+00     -0.951057D+00      0.131060D+01      0.196002D+02     -0.485279D+01
      0.268500D+02      0.575004D+00     -0.809017D+00      0.171074D+01      0.195999D+02     -0.485111D+01
      0.269000D+02      0.798327D+00     -0.587785D+00      0.235820D+01      0.195997D+02     -0.484944D+01
      0.269500D+02      0.943515D+00     -0.309017D+00      0.405328D+01      0.195994D+02     -0.484777D+01
      0.270000D+02      0.996358D+00      0.154948D-11      0.643029D+12      0.195991D+02     -0.484611D+01
      0.270500D+02      0.951685D+00      0.309017D+00      0.207972D+01      0.195989D+02     -0.484444D+01
      0.271000D+02      0.813871D+00      0.587785D+00      0.384640D+00      0.195986D+02     -0.484278D+01
      0.271500D+02      0.596404D+00      0.809017D+00      0.262805D+00      0.195984D+02     -0.484113D+01
      0.272000D+02      0.320569D+00      0.951057D+00      0.662934D+00      0.195981D+02     -0.483947D+01
      0.272500D+02      0.133632D-01      0.100000D+01      0.986637D+00      0.195978D+02     -0.483782D+01
      0.273000D+02     -0.295146D+00      0.951057D+00      0.131034D+01      0.195976D+02     -0.483617D+01
      0.273500D+02     -0.574765D+00      0.809017D+00      0.171045D+01      0.195973D+02     -0.483452D+01
      0.274000D+02     -0.798128D+00      0.587785D+00      0.235786D+01      0.195971D+02     -0.483288D+01
      0.274500D+02     -0.943374D+00      0.309017D+00      0.405282D+01      0.195968D+02     -0.483124D+01
      0.275000D+02     -0.996289D+00     -0.159554D-11      0.624422D+12      0.195966D+02     -0.482960D+01
      0.275500D+02     -0.951695D+00     -0.309017D+00      0.207975D+01      0.195963D+02     -0.482796D+01
      0.276000D+02     -0.813958D+00     -0.587785D+00      0.384789D+00      0.195960D+02     -0.482633D+01
      0.276500D+02     -0.596561D+00     -0.809017D+00      0.262610D+00      0.195958D+02     -0.482470D+01
      0.277000D+02     -0.320780D+00     -0.951057D+00      0.662712D+00      0.195955D+02     -0.482307D+01
      0.277500D+02     -0.136075D-01     -0.100000D+01      0.986393D+00      0.195953D+02     -0.482144D+01
      0.278000D+02      0.294893D+00     -0.951057D+00      0.131007D+01      0.195950D+02     -0.481982D+01
      0.278500D+02      0.574527D+00     -0.809017D+00      0.171015D+01      0.195947D+02     -0.481820D+01
      0.279000D+02      0.797928D+00     -0.587785D+00      0.235752D+01      0.195945D+02     -0.481658D+01
      0.279500D+02      0.943233D+00     -0.309017D+00      0.405236D+01      0.195942D+02     -0.481497D+01
      0.280000D+02      0.996220D+00      0.164160D-11      0.606858D+12      0.195940D+02     -0.481336D+01
      0.280500D+02      0.951705D+00      0.309017D+00      0.207978D+01      0.195937D+02     -0.481175D+01
      0.281000D+02      0.814046D+00      0.587785D+00      0.384938D+00      0.195934D+02     -0.481014D+01
      0.281500D+02      0.596718D+00      0.809017D+00      0.262416D+00      0.195932D+02     -0.480854D+01
