 #  Runge-Kutta for ideal harmonic oscillator
                #t                 x        analytical    Relative-error            Energy          log(Err)
 
      0.100000D+00      0.809102D+00      0.587785D+00      0.376526D+00      0.197232D+02     -0.645038D+01
      0.200000D+00      0.310104D+00      0.951057D+00      0.673937D+00      0.197071D+02     -0.603603D+01
      0.300000D+00     -0.306633D+00      0.951057D+00      0.132241D+01      0.196911D+02     -0.574414D+01
      0.400000D+00     -0.806047D+00      0.587785D+00      0.237133D+01      0.196751D+02     -0.551864D+01
      0.500000D+00     -0.997964D+00      0.122465D-15      0.814899D+16      0.196592D+02     -0.533489D+01
      0.600000D+00     -0.809517D+00     -0.587785D+00      0.377233D+00      0.196432D+02     -0.517984D+01
      0.700000D+00     -0.312810D+00     -0.951057D+00      0.671092D+00      0.196272D+02     -0.504574D+01
      0.800000D+00      0.302669D+00     -0.951057D+00      0.131824D+01      0.196113D+02     -0.492760D+01
      0.900000D+00      0.802336D+00     -0.587785D+00      0.236502D+01      0.195954D+02     -0.482203D+01
      0.100000D+01      0.995920D+00     -0.113311D-14      0.878928D+15      0.195794D+02     -0.472663D+01
      0.110000D+01      0.809917D+00      0.587785D+00      0.377914D+00      0.195635D+02     -0.463961D+01
      0.120000D+01      0.315500D+00      0.951057D+00      0.668263D+00      0.195476D+02     -0.455962D+01
      0.130000D+01     -0.298716D+00      0.951057D+00      0.131409D+01      0.195318D+02     -0.448562D+01
      0.140000D+01     -0.798627D+00      0.587785D+00      0.235870D+01      0.195159D+02     -0.441677D+01
      0.150000D+01     -0.993868D+00     -0.140896D-14      0.705390D+15      0.195000D+02     -0.435241D+01
      0.160000D+01     -0.810303D+00     -0.587785D+00      0.378569D+00      0.194842D+02     -0.429199D+01
      0.170000D+01     -0.318174D+00     -0.951057D+00      0.665452D+00      0.194684D+02     -0.423506D+01
      0.180000D+01      0.294773D+00     -0.951057D+00      0.130994D+01      0.194525D+02     -0.418124D+01
      0.190000D+01      0.794919D+00     -0.587785D+00      0.235240D+01      0.194367D+02     -0.413021D+01
      0.200000D+01      0.991807D+00      0.306285D-14      0.323818D+15      0.194210D+02     -0.408169D+01
      0.210000D+01      0.810673D+00      0.587785D+00      0.379199D+00      0.194052D+02     -0.403546D+01
      0.220000D+01      0.320832D+00      0.951057D+00      0.662657D+00      0.193894D+02     -0.399130D+01
      0.230000D+01     -0.290842D+00      0.951057D+00      0.130581D+01      0.193737D+02     -0.394905D+01
      0.240000D+01     -0.791214D+00      0.587785D+00      0.234609D+01      0.193579D+02     -0.390854D+01
      0.250000D+01     -0.989739D+00     -0.471675D-14      0.209835D+15      0.193422D+02     -0.386964D+01
      0.260000D+01     -0.811028D+00     -0.587785D+00      0.379804D+00      0.193265D+02     -0.383223D+01
      0.270000D+01     -0.323474D+00     -0.951057D+00      0.659879D+00      0.193108D+02     -0.379619D+01
      0.280000D+01      0.286922D+00     -0.951057D+00      0.130169D+01      0.192951D+02     -0.376144D+01
      0.290000D+01      0.787510D+00     -0.587785D+00      0.233979D+01      0.192794D+02     -0.372788D+01
      0.300000D+01      0.987663D+00      0.637064D-14      0.155034D+15      0.192638D+02     -0.369544D+01
      0.310000D+01      0.811369D+00      0.587785D+00      0.380383D+00      0.192481D+02     -0.366404D+01
      0.320000D+01      0.326100D+00      0.951057D+00      0.657118D+00      0.192325D+02     -0.363362D+01
      0.330000D+01     -0.283014D+00      0.951057D+00      0.129758D+01      0.192168D+02     -0.360412D+01
      0.340000D+01     -0.783809D+00      0.587785D+00      0.233350D+01      0.192012D+02     -0.357549D+01
      0.350000D+01     -0.985579D+00     -0.980089D-14      0.100560D+15      0.191856D+02     -0.354768D+01
      0.360000D+01     -0.811695D+00     -0.587785D+00      0.380938D+00      0.191700D+02     -0.352065D+01
      0.370000D+01     -0.328710D+00     -0.951057D+00      0.654374D+00      0.191545D+02     -0.349434D+01
      0.380000D+01      0.279116D+00     -0.951057D+00      0.129348D+01      0.191389D+02     -0.346874D+01
      0.390000D+01      0.780109D+00     -0.587785D+00      0.232720D+01      0.191234D+02     -0.344379D+01
      0.400000D+01      0.983487D+00      0.967842D-14      0.101616D+15      0.191078D+02     -0.341947D+01
      0.410000D+01      0.812006D+00      0.587785D+00      0.381467D+00      0.190923D+02     -0.339574D+01
