        #E     huber       exp     error
      0.00     10.65     10.65      0.00
      5.00     12.17     12.00      0.17
     10.00     14.07     13.60      0.46
     15.00     16.35     15.53      0.82
     20.00     19.02     17.85      1.17
     25.00     22.07     20.67      1.41
     30.00     25.51     24.11      1.40
     35.00     29.33     28.34      0.99
     40.00     33.54     33.54      0.00
     45.00     39.01     39.87      0.85
     50.00     46.13     47.44      1.31
     55.00     54.14     56.17      2.03
     60.00     62.28     65.56      3.28
     65.00     69.79     74.45      4.65
     70.00     75.93     81.04      5.10
     75.00     79.93     83.50      3.57
     80.00     81.04     81.04      0.00
     85.00     78.64     74.45      4.19
     90.00     73.18     65.56      7.62
     95.00     65.52     56.17      9.35
    100.00     56.52     47.44      9.08
    105.00     47.02     39.87      7.15
    110.00     37.88     33.54      4.35
    115.00     29.96     28.34      1.62
    120.00     24.11     24.11      0.00
    125.00     20.11     20.67      0.56
    130.00     17.04     17.85      0.80
    135.00     14.75     15.53      0.78
    140.00     13.03     13.60      0.57
    145.00     11.73     12.00      0.26
    150.00     10.67     10.65      0.02
    155.00      9.66      9.51      0.15
    160.00      8.53      8.53      0.00
    165.00      7.37      7.70      0.32
    170.00      6.39      6.97      0.58
    175.00      5.58      6.34      0.76
    180.00      4.95      5.80      0.85
    185.00      4.49      5.31      0.82
    190.00      4.21      4.89      0.68
    195.00      4.10      4.51      0.41
    200.00      4.17      4.17      0.00
