 #     x               legendre p( 4 ,x)
  -.742999            -0.304753223
  -.741999            -0.306328841
  -.740999            -0.307885656
  -.739999            -0.309423730
  -.738999            -0.310943123
  -.737999            -0.312443898
  -.736999            -0.313926114
  -.735999            -0.315389835
  -.734999            -0.316835121
  -.733999            -0.318262033
  -.732999            -0.319670633
  -.731999            -0.321060982
  -.730999            -0.322433141
  -.729999            -0.323787171
  -.728999            -0.325123133
  -.727999            -0.326441089
  -.726999            -0.327741099
  -.725999            -0.329023225
  -.724999            -0.330287528
  -.723999            -0.331534068
  -.722999            -0.332762906
  -.721999            -0.333974104
  -.720999            -0.335167722
  -.719999            -0.336343821
  -.718999            -0.337502462
  -.717999            -0.338643706
  -.716999            -0.339767613
  -.715999            -0.340874244
  -.714999            -0.341963659
  -.713999            -0.343035920
  -.712999            -0.344091086
  -.711999            -0.345129219
  -.710999            -0.346150379
  -.709999            -0.347154625
  -.708999            -0.348142019
  -.707999            -0.349112622
  -.706999            -0.350066492
  -.705999            -0.351003691
  -.704999            -0.351924278
  -.703999            -0.352828315
  -.702999            -0.353715860
  -.701999            -0.354586975
  -.700999            -0.355441718
  -.699999            -0.356280151
  -.698999            -0.357102333
  -.697999            -0.357908323
  -.696999            -0.358698183
  -.695999            -0.359471971
  -.694999            -0.360229747
  -.693999            -0.360971571
  -.692999            -0.361697503
  -.691999            -0.362407602
  -.690999            -0.363101928
  -.689999            -0.363780540
  -.688999            -0.364443498
  -.687999            -0.365090862
  -.686999            -0.365722689
  -.685999            -0.366339041
  -.684999            -0.366939975
  -.683999            -0.367525552
  -.682999            -0.368095830
  -.681999            -0.368650868
  -.680999            -0.369190726
  -.679999            -0.369715463
  -.678999            -0.370225137
  -.677999            -0.370719807
  -.676999            -0.371199532
  -.675999            -0.371664370
  -.674999            -0.372114382
  -.673999            -0.372549624
  -.672999            -0.372970156
  -.671999            -0.373376037
  -.670999            -0.373767324
  -.669999            -0.374144076
  -.668999            -0.374506352
  -.667999            -0.374854209
  -.666999            -0.375187707
