     -4.00  -0.01688
     -3.90  -0.02309
     -3.80  -0.03121
     -3.70  -0.04165
     -3.60  -0.05488
     -3.50  -0.07138
     -3.40  -0.09163
     -3.30  -0.11605
     -3.20  -0.14496
     -3.10  -0.17856
     -3.00  -0.21679
     -2.90  -0.25933
     -2.80  -0.30549
     -2.70  -0.35418
     -2.60  -0.40386
     -2.50  -0.45253
     -2.40  -0.49778
     -2.30  -0.53683
     -2.20  -0.56671
     -2.10  -0.58435
     -2.00  -0.58690
     -1.90  -0.57190
     -1.80  -0.53758
     -1.70  -0.48316
     -1.60  -0.40899
     -1.50  -0.31678
     -1.40  -0.20963
     -1.30  -0.09202
     -1.20   0.03040
     -1.10   0.15109
     -1.00   0.26303
     -0.90   0.35924
     -0.80   0.43331
     -0.70   0.47995
     -0.60   0.49552
     -0.50   0.47838
     -0.40   0.42914
     -0.30   0.35073
     -0.20   0.24824
     -0.10   0.12859
      0.00   0.00000
      0.10  -0.12859
      0.20  -0.24824
      0.30  -0.35073
      0.40  -0.42914
      0.50  -0.47838
      0.60  -0.49552
      0.70  -0.47995
      0.80  -0.43331
      0.90  -0.35924
      1.00  -0.26303
      1.10  -0.15109
      1.20  -0.03040
      1.30   0.09202
      1.40   0.20963
      1.50   0.31678
      1.60   0.40899
      1.70   0.48316
      1.80   0.53758
      1.90   0.57190
      2.00   0.58690
      2.10   0.58435
      2.20   0.56671
      2.30   0.53683
      2.40   0.49778
      2.50   0.45253
      2.60   0.40386
      2.70   0.35418
      2.80   0.30549
      2.90   0.25933
      3.00   0.21679
      3.10   0.17856
      3.20   0.14496
      3.30   0.11605
      3.40   0.09163
      3.50   0.07138
      3.60   0.05488
      3.70   0.04165
      3.80   0.03121
      3.90   0.02309
