 #                Euler method to solve the differential equation
 #              step size h =  0.20
 #                         
 #           x                        y               exact               error
 #                         
            0.000000            0.000000            0.000000            0.408527
           -0.200000           -0.400000           -0.329680            0.213298
           -0.400000           -0.640000           -0.550671            0.162218
           -0.600000           -0.784000           -0.698806            0.121914
           -0.800000           -0.870400           -0.798103            0.090585
           -1.000000           -0.922240           -0.864665            0.066587
           -1.200000           -0.953344           -0.909282            0.048458
           -1.400000           -0.972006           -0.939190            0.034941
           -1.600000           -0.983204           -0.959238            0.024984
           -1.800000           -0.989922           -0.972676            0.017730
           -2.000000           -0.993953           -0.981684            0.012498
            0.000000            0.000000            0.000000            0.012498
            0.200000            0.400000            0.491825            0.186702
            0.400000            0.960000            1.225541            0.216672
            0.600000            1.744000            2.320117            0.248314
            0.800000            2.841600            3.953032            0.281159
            1.000000            4.378240            6.389056            0.314728
            1.200000            6.529536           10.023176            0.348556
            1.400000            9.541350           15.444647            0.382223
            1.600000           13.757891           23.532530            0.415367
            1.800000           19.661047           35.598234            0.447696
            2.000000           27.925465           53.598150            0.478985
