              #x          answer           exact           error
        0.000000        0.000000        0.000000        0.000000
        0.100000        0.221435        0.221403        0.000033
        0.200000        0.491904        0.491825        0.000080
        0.300000        0.822265        0.822119        0.000146
        0.400000        1.225778        1.225541        0.000237
        0.500000        1.718641        1.718282        0.000359
        0.600000        2.320631        2.320117        0.000514
        0.700000        3.055889        3.055200        0.000689
        0.800000        3.953858        3.953032        0.000826
        0.900000        5.050421        5.049647        0.000773
        1.000000        6.389240        6.389056        0.000184
        1.100000        8.023358        8.025013        0.001655
        1.200000       10.017077       10.023176        0.006099
        1.300000       12.448158       12.463738        0.015580
        1.400000       15.410382       15.444647        0.034265
        1.500000       19.016514       19.085537        0.069023
        1.600000       23.401714       23.532530        0.130816
        1.700000       28.727444       28.964100        0.236656
        1.800000       35.185914       35.598234        0.412321
        1.900000       43.005134       43.701184        0.696051
        2.000000       52.454613       53.598150        1.143537
        0.000000        0.000000        0.000000        0.000000
       -0.100000       -0.181291       -0.181269        0.000022
       -0.200000       -0.329716       -0.329680        0.000036
       -0.300000       -0.451232       -0.451188        0.000044
       -0.400000       -0.550719       -0.550671        0.000048
       -0.500000       -0.632167       -0.632121        0.000046
       -0.600000       -0.698841       -0.698806        0.000035
       -0.700000       -0.753398       -0.753403        0.000005
       -0.800000       -0.797980       -0.798103        0.000124
       -0.900000       -0.834270       -0.834701        0.000432
       -1.000000       -0.863510       -0.864665        0.001155
       -1.100000       -0.886476       -0.889197        0.002721
       -1.200000       -0.903398       -0.909282        0.005884
       -1.300000       -0.913819       -0.925726        0.011908
       -1.400000       -0.916367       -0.939190        0.022823
       -1.500000       -0.908445       -0.950213        0.041768
       -1.600000       -0.885792       -0.959238        0.073446
       -1.700000       -0.841918       -0.966627        0.124709
       -1.800000       -0.767373       -0.972676        0.205303
       -1.900000       -0.648831       -0.977629        0.328798
       -2.000000       -0.467955       -0.981684        0.513729
