#log10(N)          h      T-rule     S-rule    G-Quad       log10(eT)       log10(eS)       log10(eG)
        2.489959   0.0102  1.999983  2.000000  1.999995   -0.506335E+01   -0.662266E+01   -0.564494E+01
        2.495544   0.0101  1.999984  2.000000  1.999995   -0.509439E+01   -0.722472E+01   -0.564494E+01
        2.506505   0.0098  1.999983  2.000000  1.999996   -0.507859E+01   -0.692369E+01   -0.569324E+01
        2.511883   0.0097  1.999985  2.000000  1.999996   -0.511751E+01   -0.674760E+01   -0.571957E+01
        2.522444   0.0095  1.999984  1.999999  1.999995   -0.510087E+01   -0.652575E+01   -0.562266E+01
        2.527630   0.0093  1.999986  2.000000  1.999996   -0.514193E+01   -0.692369E+01   -0.568065E+01
        2.532754   0.0092  1.999986  2.000000  1.999997   -0.515653E+01   -0.692369E+01   -0.582678E+01
        2.537819   0.0091  1.999986  1.999999  1.999996   -0.515653E+01   -0.637962E+01   -0.570621E+01
        2.542825   0.0090  1.999987  1.999999  1.999996   -0.517164E+01   -0.652575E+01   -0.574760E+01
        2.547775   0.0089  1.999985  2.000000  1.999996   -0.513836E+01   -0.692369E+01   -0.566842E+01
        2.552668   0.0088  1.999987  2.000000  1.999997   -0.519534E+01   -0.692369E+01   -0.579336E+01
        2.557507   0.0087  1.999987  2.000000  1.999997   -0.517940E+01   -0.692369E+01   -0.576232E+01
        2.562293   0.0086  1.999987  2.000000  1.999997   -0.519941E+01   -0.722472E+01   -0.577756E+01
        2.567026   0.0085  1.999988  2.000000  1.999997   -0.520769E+01   -0.722472E+01   -0.582678E+01
        2.571709   0.0084  1.999988  2.000000  1.999997   -0.521612E+01   -0.674760E+01   -0.576232E+01
        2.576341   0.0084  1.999989  2.000000  1.999998   -0.525159E+01   -0.662266E+01   -0.599427E+01
        2.585461   0.0082  1.999989  2.000001  1.999997   -0.524245E+01   -0.644657E+01   -0.584451E+01
        2.589950   0.0081  1.999988  2.000001  1.999997   -0.522908E+01   -0.644657E+01   -0.577756E+01
        2.594393   0.0080  1.999990  2.000001  1.999998   -0.528024E+01   -0.644657E+01   -0.602060E+01
        2.603144   0.0079  1.999990  2.000000  1.999997   -0.528520E+01   -0.722472E+01   -0.576232E+01
        2.607455   0.0078  1.999990  2.000000  1.999997   -0.528024E+01   -0.662266E+01   -0.584451E+01
        2.611723   0.0077  1.999990  1.999999  1.999997   -0.529530E+01   -0.652575E+01   -0.586299E+01
        2.615950   0.0076  1.999989  2.000000  1.999997   -0.527533E+01   -0.662266E+01   -0.584451E+01
        2.624282   0.0075  1.999992  2.000000  1.999998   -0.537346E+01   -0.692369E+01   -0.594597E+01
        2.628389   0.0074  1.999991  2.000000  1.999998   -0.534391E+01   -0.662266E+01   -0.592369E+01
        2.632457   0.0073  1.999992  2.000000  1.999997   -0.539221E+01   -0.692369E+01   -0.586299E+01
        2.636488   0.0073  1.999991  2.000000  1.999998   -0.534391E+01   -0.674760E+01   -0.599427E+01
        2.640481   0.0072  1.999990  2.000001  1.999998   -0.531624E+01   -0.614554E+01   -0.604863E+01
        2.644439   0.0071  1.999991  2.000001  1.999997   -0.532709E+01   -0.644657E+01   -0.586299E+01
        2.648360   0.0071  1.999991  2.000000  1.999998   -0.536739E+01   -0.692369E+01   -0.592369E+01
        2.652246   0.0070  1.999991  2.000001  1.999998   -0.534391E+01   -0.644657E+01   -0.611078E+01
        2.656098   0.0070  1.999992  2.000000  1.999997   -0.541181E+01   -0.692369E+01   -0.588230E+01
        2.659916   0.0069  1.999991  2.000001  1.999999   -0.535549E+01   -0.644657E+01   -0.618333E+01
        2.663701   0.0068  1.999992  2.000000  1.999999   -0.542538E+01   -0.692369E+01   -0.618333E+01
        2.667453   0.0068  1.999993  2.000000  1.999998   -0.543939E+01   -0.722472E+01   -0.602060E+01
        2.671173   0.0067  1.999993  1.999999  1.999997   -0.543233E+01   -0.637962E+01   -0.580975E+01
        2.674861   0.0067  1.999993  2.000000  1.999998   -0.547653E+01   -0.674760E+01   -0.607859E+01
        2.678518   0.0066  1.999994  1.999999  1.999997   -0.552575E+01   -0.632163E+01   -0.590250E+01
        2.682145   0.0065  1.999992  2.000001  1.999999   -0.542538E+01   -0.632163E+01   -0.627048E+01
        2.685742   0.0065  1.999993  1.999999  1.999999   -0.543939E+01   -0.644657E+01   -0.618333E+01
        2.692847   0.0064  1.999993  2.000000  1.999998   -0.546884E+01   -0.662266E+01   -0.607859E+01
        2.696356   0.0063  1.999993  2.000000  1.999998   -0.547653E+01   -0.692369E+01   -0.602060E+01
        2.699838   0.0063  1.999994  2.000000  1.999998   -0.549233E+01   -0.692369E+01   -0.596945E+01
        2.703291   0.0062  1.999993  2.000000  1.999997   -0.546884E+01   -0.662266E+01   -0.588230E+01
        2.706718   0.0062  1.999993  2.000000  1.999999   -0.545387E+01   -0.692369E+01   -0.614554E+01
        2.710117   0.0061  1.999993  2.000002  1.999999   -0.544657E+01   -0.602060E+01   -0.614554E+01
        2.716838   0.0060  1.999995  2.000000  1.999998   -0.556196E+01   -0.692369E+01   -0.594597E+01
        2.720159   0.0060  1.999995  2.000001  1.999998   -0.560147E+01   -0.644657E+01   -0.596945E+01
        2.726727   0.0059  1.999994  2.000000  1.999999   -0.550044E+01   -0.692369E+01   -0.618333E+01
        2.729974   0.0059  1.999994  2.000001  1.999998   -0.555262E+01   -0.644657E+01   -0.611078E+01
        2.733197   0.0058  1.999995  1.999999  1.999998   -0.557151E+01   -0.637962E+01   -0.604863E+01
        2.739572   0.0057  1.999994  2.000000  1.999998   -0.552575E+01   -0.662266E+01   -0.611078E+01
        2.742725   0.0057  1.999994  2.000001  1.999998   -0.551715E+01   -0.632163E+01   -0.602060E+01
        2.745855   0.0057  1.999995  2.000000  1.999998   -0.561194E+01   -0.674760E+01   -0.611078E+01
        2.748963   0.0056  1.999995  2.000000  1.999998   -0.556196E+01   -0.662266E+01   -0.604863E+01
        2.752048   0.0056  1.999996  2.000000  2.000000   -0.566842E+01   -0.692369E+01   -0.674760E+01
        2.755112   0.0055  1.999994  2.000000  1.999998   -0.555262E+01   -0.662266E+01   -0.602060E+01
        2.758155   0.0055  1.999995  2.000000  2.000000   -0.560147E+01   -0.692369E+01   -0.662266E+01
        2.764176   0.0054  1.999996  2.000001  1.999999   -0.568065E+01   -0.632163E+01   -0.627048E+01
        2.767156   0.0054  1.999995  2.000000  1.999999   -0.556196E+01   -0.674760E+01   -0.618333E+01
        2.770115   0.0053  1.999996  2.000000  1.999999   -0.568065E+01   -0.722472E+01   -0.622472E+01
        2.773055   0.0053  1.999995  2.000000  1.999998   -0.562266E+01   -0.662266E+01   -0.604863E+01
        2.775974   0.0053  1.999995  2.000000  1.999998   -0.561194E+01   -0.722472E+01   -0.596945E+01
        2.778874   0.0052  1.999994  2.000000  1.999999   -0.554348E+01   -0.692369E+01   -0.614554E+01
        2.781755   0.0052  1.999996  2.000000  1.999999   -0.569324E+01   -0.692369E+01   -0.614554E+01
        2.790285   0.0051  1.999995  2.000000  1.999999   -0.563366E+01   -0.662266E+01   -0.644657E+01
        2.793092   0.0051  1.999995  2.000000  2.000000   -0.560147E+01   -0.692369E+01   -0.692369E+01
        2.795880   0.0050  1.999995  2.000001  1.999998   -0.564494E+01   -0.644657E+01   -0.607859E+01
        2.798651   0.0050  1.999996  2.000000  1.999999   -0.569324E+01   -0.662266E+01   -0.652575E+01
        2.801404   0.0050  1.999996  2.000000  1.999999   -0.573336E+01   -0.692369E+01   -0.652575E+01
        2.806858   0.0049  1.999996  1.999999  2.000000   -0.573336E+01   -0.622472E+01   -0.722472E+01
        2.809560   0.0049  1.999995  2.000000  1.999999   -0.560147E+01   -0.662266E+01   -0.627048E+01
        2.812245   0.0048  1.999997  2.000001  2.000000   -0.579336E+01   -0.622472E+01   -0.662266E+01
        2.814913   0.0048  1.999996  1.999999  2.000000   -0.566842E+01   -0.637962E+01   -0.692369E+01
        2.817565   0.0048  1.999997  2.000000  1.999998   -0.580975E+01   -0.662266E+01   -0.602060E+01
        2.820201   0.0048  1.999997  2.000000  1.999999   -0.577756E+01   -0.722472E+01   -0.627048E+01
        2.822822   0.0047  1.999996  2.000000  1.999999   -0.570621E+01   -0.662266E+01   -0.637962E+01
        2.825426   0.0047  1.999997  2.000000  2.000000   -0.582678E+01   -0.692369E+01   -0.662266E+01
        2.828015   0.0047  1.999997  2.000000  1.999999   -0.584451E+01   -0.692369E+01   -0.637962E+01
        2.830589   0.0046  1.999996  2.000001  1.999999   -0.569324E+01   -0.614554E+01   -0.622472E+01
        2.833147   0.0046  1.999996  2.000001  1.999998   -0.566842E+01   -0.632163E+01   -0.602060E+01
        2.838219   0.0046  1.999997  2.000000  1.999999   -0.584451E+01   -0.662266E+01   -0.627048E+01
        2.840733   0.0045  1.999997  2.000001  2.000000   -0.579336E+01   -0.644657E+01   -0.662266E+01
        2.843233   0.0045  1.999996  2.000001  1.999999   -0.568065E+01   -0.632163E+01   -0.618333E+01
