 #  Runge-Kutta for damped harmonic oscillator
                #x                 y        analytical    Relative-error
 
      0.475000D+01      0.337867D-11     -0.100000D+01      0.100000D+01
      0.480000D+01      0.249301D-11     -0.951057D+00      0.100000D+01
      0.485000D+01      0.183932D-11     -0.809017D+00      0.100000D+01
      0.490000D+01      0.135690D-11     -0.587785D+00      0.100000D+01
      0.495000D+01      0.100091D-11     -0.309017D+00      0.100000D+01
      0.500000D+01      0.738246D-12     -0.616208D-13      0.129805D+02
      0.505000D+01      0.544461D-12      0.309017D+00      0.100000D+01
      0.510000D+01      0.401506D-12      0.587785D+00      0.100000D+01
      0.515000D+01      0.296059D-12      0.809017D+00      0.100000D+01
      0.520000D+01      0.218286D-12      0.951057D+00      0.100000D+01
      0.525000D+01      0.160929D-12      0.100000D+01      0.100000D+01
      0.530000D+01      0.118634D-12      0.951057D+00      0.100000D+01
      0.535000D+01      0.874469D-13      0.809017D+00      0.100000D+01
      0.540000D+01      0.644533D-13      0.587785D+00      0.100000D+01
      0.545000D+01      0.475018D-13      0.309017D+00      0.100000D+01
      0.550000D+01      0.350059D-13      0.759541D-13      0.539118D+00
      0.555000D+01      0.257952D-13     -0.309017D+00      0.100000D+01
      0.560000D+01      0.190065D-13     -0.587785D+00      0.100000D+01
      0.565000D+01      0.140034D-13     -0.809017D+00      0.100000D+01
      0.570000D+01      0.103165D-13     -0.951057D+00      0.100000D+01
      0.575000D+01      0.759974D-14     -0.100000D+01      0.100000D+01
      0.580000D+01      0.559802D-14     -0.951057D+00      0.100000D+01
      0.585000D+01      0.412325D-14     -0.809017D+00      0.100000D+01
      0.590000D+01      0.303680D-14     -0.587785D+00      0.100000D+01
      0.595000D+01      0.223646D-14     -0.309017D+00      0.100000D+01
      0.600000D+01      0.164694D-14     -0.867347D-13      0.101899D+01
      0.605000D+01      0.121274D-14      0.309017D+00      0.100000D+01
      0.610000D+01      0.892948D-15      0.587785D+00      0.100000D+01
      0.615000D+01      0.657443D-15      0.809017D+00      0.100000D+01
      0.620000D+01      0.484020D-15      0.951057D+00      0.100000D+01
      0.625000D+01      0.356321D-15      0.100000D+01      0.100000D+01
      0.630000D+01      0.262297D-15      0.951057D+00      0.100000D+01
      0.635000D+01      0.193072D-15      0.809017D+00      0.100000D+01
      0.640000D+01      0.142108D-15      0.587785D+00      0.100000D+01
      0.645000D+01      0.104591D-15      0.309017D+00      0.100000D+01
      0.650000D+01      0.769738D-16      0.975153D-13      0.999211D+00
      0.655000D+01      0.566459D-16     -0.309017D+00      0.100000D+01
      0.660000D+01      0.416841D-16     -0.587785D+00      0.100000D+01
      0.665000D+01      0.306724D-16     -0.809017D+00      0.100000D+01
      0.670000D+01      0.225684D-16     -0.951057D+00      0.100000D+01
      0.675000D+01      0.166048D-16     -0.100000D+01      0.100000D+01
      0.680000D+01      0.122163D-16     -0.951057D+00      0.100000D+01
      0.685000D+01      0.898725D-17     -0.809017D+00      0.100000D+01
