 #  Runge-Kutta for damped harmonic oscillator
                #x                 y        analytical    Relative-error
 
      0.475000D+01      0.177013D-01     -0.100000D+01      0.101770D+01
      0.480000D+01      0.169621D-01     -0.951057D+00      0.101783D+01
      0.485000D+01      0.162537D-01     -0.809017D+00      0.102009D+01
      0.490000D+01      0.155749D-01     -0.587785D+00      0.102650D+01
      0.495000D+01      0.149244D-01     -0.309017D+00      0.104830D+01
      0.500000D+01      0.143011D-01     -0.616208D-13      0.232083D+12
      0.505000D+01      0.137039D-01      0.309017D+00      0.955653D+00
      0.510000D+01      0.131315D-01      0.587785D+00      0.977659D+00
      0.515000D+01      0.125831D-01      0.809017D+00      0.984446D+00
      0.520000D+01      0.120576D-01      0.951057D+00      0.987322D+00
      0.525000D+01      0.115541D-01      0.100000D+01      0.988446D+00
      0.530000D+01      0.110715D-01      0.951057D+00      0.988359D+00
      0.535000D+01      0.106091D-01      0.809017D+00      0.986886D+00
      0.540000D+01      0.101661D-01      0.587785D+00      0.982704D+00
      0.545000D+01      0.974150D-02      0.309017D+00      0.968476D+00
      0.550000D+01      0.933466D-02      0.759541D-13      0.122899D+12
      0.555000D+01      0.894482D-02     -0.309017D+00      0.102895D+01
      0.560000D+01      0.857126D-02     -0.587785D+00      0.101458D+01
      0.565000D+01      0.821329D-02     -0.809017D+00      0.101015D+01
      0.570000D+01      0.787028D-02     -0.951057D+00      0.100828D+01
      0.575000D+01      0.754159D-02     -0.100000D+01      0.100754D+01
      0.580000D+01      0.722663D-02     -0.951057D+00      0.100760D+01
      0.585000D+01      0.692483D-02     -0.809017D+00      0.100856D+01
      0.590000D+01      0.663562D-02     -0.587785D+00      0.101129D+01
      0.595000D+01      0.635850D-02     -0.309017D+00      0.102058D+01
      0.600000D+01      0.609295D-02     -0.867347D-13      0.702481D+11
      0.605000D+01      0.583849D-02      0.309017D+00      0.981106D+00
      0.610000D+01      0.559465D-02      0.587785D+00      0.990482D+00
      0.615000D+01      0.536100D-02      0.809017D+00      0.993373D+00
      0.620000D+01      0.513711D-02      0.951057D+00      0.994599D+00
      0.625000D+01      0.492257D-02      0.100000D+01      0.995077D+00
      0.630000D+01      0.471699D-02      0.951057D+00      0.995040D+00
      0.635000D+01      0.451999D-02      0.809017D+00      0.994413D+00
      0.640000D+01      0.433122D-02      0.587785D+00      0.992631D+00
      0.645000D+01      0.415034D-02      0.309017D+00      0.986569D+00
      0.650000D+01      0.397701D-02      0.975153D-13      0.407834D+11
      0.655000D+01      0.381091D-02     -0.309017D+00      0.101233D+01
      0.660000D+01      0.365176D-02     -0.587785D+00      0.100621D+01
      0.665000D+01      0.349925D-02     -0.809017D+00      0.100433D+01
      0.670000D+01      0.335311D-02     -0.951057D+00      0.100353D+01
      0.675000D+01      0.321307D-02     -0.100000D+01      0.100321D+01
      0.680000D+01      0.307888D-02     -0.951057D+00      0.100324D+01
      0.685000D+01      0.295030D-02     -0.809017D+00      0.100365D+01
      0.690000D+01      0.282709D-02     -0.587785D+00      0.100481D+01
      0.695000D+01      0.270902D-02     -0.309017D+00      0.100877D+01
      0.700000D+01      0.259588D-02     -0.108296D-12      0.239703D+11
      0.705000D+01      0.248747D-02      0.309017D+00      0.991950D+00
      0.710000D+01      0.238358D-02      0.587785D+00      0.995945D+00
      0.715000D+01      0.228404D-02      0.809017D+00      0.997177D+00
      0.720000D+01      0.218865D-02      0.951057D+00      0.997699D+00
      0.725000D+01      0.209725D-02      0.100000D+01      0.997903D+00
      0.730000D+01      0.200966D-02      0.951057D+00      0.997887D+00
      0.735000D+01      0.192573D-02      0.809017D+00      0.997620D+00
      0.740000D+01      0.184530D-02      0.587785D+00      0.996861D+00
      0.745000D+01      0.176824D-02      0.309017D+00      0.994278D+00
      0.750000D+01      0.169439D-02      0.119077D-12      0.142294D+11
      0.755000D+01      0.162363D-02     -0.309017D+00      0.100525D+01
      0.760000D+01      0.155582D-02     -0.587785D+00      0.100265D+01
      0.765000D+01      0.149084D-02     -0.809017D+00      0.100184D+01
      0.770000D+01      0.142858D-02     -0.951057D+00      0.100150D+01
      0.775000D+01      0.136892D-02     -0.100000D+01      0.100137D+01
      0.780000D+01      0.131175D-02     -0.951057D+00      0.100138D+01
      0.785000D+01      0.125697D-02     -0.809017D+00      0.100155D+01
      0.790000D+01      0.120447D-02     -0.587785D+00      0.100205D+01
      0.795000D+01      0.115417D-02     -0.309017D+00      0.100373D+01
      0.800000D+01      0.110597D-02     -0.129857D-12      0.851680D+10
      0.805000D+01      0.105978D-02      0.309017D+00      0.996570D+00
      0.810000D+01      0.101552D-02      0.587785D+00      0.998272D+00
      0.815000D+01      0.973108D-03      0.809017D+00      0.998797D+00
      0.820000D+01      0.932468D-03      0.951057D+00      0.999020D+00
      0.825000D+01      0.893525D-03      0.100000D+01      0.999106D+00
      0.830000D+01      0.856208D-03      0.951057D+00      0.999100D+00
      0.835000D+01      0.820451D-03      0.809017D+00      0.998986D+00
      0.840000D+01      0.786186D-03      0.587785D+00      0.998662D+00
      0.845000D+01      0.753352D-03      0.309017D+00      0.997562D+00
      0.850000D+01      0.721890D-03      0.908997D-13      0.794161D+10
      0.855000D+01      0.691742D-03     -0.309017D+00      0.100224D+01
      0.860000D+01      0.662852D-03     -0.587785D+00      0.100113D+01
      0.865000D+01      0.635169D-03     -0.809017D+00      0.100079D+01
      0.870000D+01      0.608643D-03     -0.951057D+00      0.100064D+01
      0.875000D+01      0.583224D-03     -0.100000D+01      0.100058D+01
      0.880000D+01      0.558867D-03     -0.951057D+00      0.100059D+01
      0.885000D+01      0.535527D-03     -0.809017D+00      0.100066D+01
      0.890000D+01      0.513161D-03     -0.587785D+00      0.100087D+01
      0.895000D+01      0.491730D-03     -0.309017D+00      0.100159D+01
      0.900000D+01      0.471194D-03     -0.448369D-13      0.105091D+11
      0.905000D+01      0.451515D-03      0.309017D+00      0.998539D+00
      0.910000D+01      0.432659D-03      0.587785D+00      0.999264D+00
      0.915000D+01      0.414590D-03      0.809017D+00      0.999488D+00
      0.920000D+01      0.397275D-03      0.951057D+00      0.999582D+00
      0.925000D+01      0.380684D-03      0.100000D+01      0.999619D+00
      0.930000D+01      0.364785D-03      0.951057D+00      0.999616D+00
      0.935000D+01      0.349550D-03      0.809017D+00      0.999568D+00
      0.940000D+01      0.334952D-03      0.587785D+00      0.999430D+00
      0.945000D+01      0.320963D-03      0.309017D+00      0.998961D+00
      0.950000D+01      0.307559D-03      0.587954D-14      0.523100D+11
      0.955000D+01      0.294714D-03     -0.309017D+00      0.100095D+01
      0.960000D+01      0.282406D-03     -0.587785D+00      0.100048D+01
      0.965000D+01      0.270612D-03     -0.809017D+00      0.100033D+01
      0.970000D+01      0.259310D-03     -0.951057D+00      0.100027D+01
      0.975000D+01      0.248481D-03     -0.100000D+01      0.100025D+01
      0.980000D+01      0.238103D-03     -0.951057D+00      0.100025D+01
      0.985000D+01      0.228159D-03     -0.809017D+00      0.100028D+01
      0.990000D+01      0.218631D-03     -0.587785D+00      0.100037D+01
      0.995000D+01      0.209500D-03     -0.309017D+00      0.100068D+01
      0.100000D+02      0.200751D-03      0.401833D-13      0.499588D+10
