 #  Runge-Kutta for damped harmonic oscillator
                #x                 y        analytical    Relative-error
 
      0.470000D+01     -0.642326D-03     -0.951057D+00      0.999325D+00
      0.475000D+01     -0.555011D-03     -0.100000D+01      0.999445D+00
      0.480000D+01     -0.430114D-03     -0.951057D+00      0.999548D+00
      0.485000D+01     -0.284408D-03     -0.809017D+00      0.999648D+00
      0.490000D+01     -0.134116D-03     -0.587785D+00      0.999772D+00
      0.495000D+01      0.648200D-05     -0.309017D+00      0.100002D+01
      0.500000D+01      0.126061D-03     -0.616208D-13      0.204575D+10
      0.505000D+01      0.216844D-03      0.309017D+00      0.999298D+00
      0.510000D+01      0.274793D-03      0.587785D+00      0.999532D+00
      0.515000D+01      0.299430D-03      0.809017D+00      0.999630D+00
      0.520000D+01      0.293366D-03      0.951057D+00      0.999692D+00
      0.525000D+01      0.261610D-03      0.100000D+01      0.999738D+00
      0.530000D+01      0.210774D-03      0.951057D+00      0.999778D+00
      0.535000D+01      0.148234D-03      0.809017D+00      0.999817D+00
      0.540000D+01      0.813558D-04      0.587785D+00      0.999862D+00
      0.545000D+01      0.168278D-04      0.309017D+00      0.999946D+00
      0.550000D+01     -0.398468D-04      0.759541D-13      0.524617D+09
      0.555000D+01     -0.846761D-04     -0.309017D+00      0.999726D+00
      0.560000D+01     -0.115321D-03     -0.587785D+00      0.999804D+00
      0.565000D+01     -0.131067D-03     -0.809017D+00      0.999838D+00
      0.570000D+01     -0.132653D-03     -0.951057D+00      0.999861D+00
      0.575000D+01     -0.121993D-03     -0.100000D+01      0.999878D+00
      0.580000D+01     -0.101832D-03     -0.951057D+00      0.999893D+00
      0.585000D+01     -0.753780D-04     -0.809017D+00      0.999907D+00
      0.590000D+01     -0.459406D-04     -0.587785D+00      0.999922D+00
      0.595000D+01     -0.166200D-04     -0.309017D+00      0.999946D+00
      0.600000D+01      0.994496D-05     -0.867347D-13      0.114660D+09
      0.605000D+01      0.317486D-04      0.309017D+00      0.999897D+00
      0.610000D+01      0.475079D-04      0.587785D+00      0.999919D+00
      0.615000D+01      0.566739D-04      0.809017D+00      0.999930D+00
      0.620000D+01      0.593745D-04      0.951057D+00      0.999938D+00
      0.625000D+01      0.563046D-04      0.100000D+01      0.999944D+00
      0.630000D+01      0.485810D-04      0.951057D+00      0.999949D+00
      0.635000D+01      0.375794D-04      0.809017D+00      0.999954D+00
      0.640000D+01      0.247728D-04      0.587785D+00      0.999958D+00
      0.645000D+01      0.115835D-04      0.309017D+00      0.999963D+00
      0.650000D+01     -0.738275D-06      0.975153D-13      0.757087D+07
      0.655000D+01     -0.112025D-04     -0.309017D+00      0.999964D+00
      0.660000D+01     -0.191314D-04     -0.587785D+00      0.999967D+00
      0.665000D+01     -0.241751D-04     -0.809017D+00      0.999970D+00
      0.670000D+01     -0.262962D-04     -0.951057D+00      0.999972D+00
      0.675000D+01     -0.257271D-04     -0.100000D+01      0.999974D+00
      0.680000D+01     -0.229105D-04     -0.951057D+00      0.999976D+00
      0.685000D+01     -0.184280D-04     -0.809017D+00      0.999977D+00
      0.690000D+01     -0.129278D-04     -0.587785D+00      0.999978D+00
      0.695000D+01     -0.705594D-05     -0.309017D+00      0.999977D+00
      0.700000D+01     -0.139829D-05     -0.108296D-12      0.129118D+08
      0.705000D+01      0.356381D-05      0.309017D+00      0.999988D+00
      0.710000D+01      0.748200D-05      0.587785D+00      0.999987D+00
      0.715000D+01      0.101531D-04      0.809017D+00      0.999987D+00
      0.720000D+01      0.115163D-04      0.951057D+00      0.999988D+00
      0.725000D+01      0.116384D-04      0.100000D+01      0.999988D+00
      0.730000D+01      0.106885D-04      0.951057D+00      0.999989D+00
      0.735000D+01      0.890854D-05      0.809017D+00      0.999989D+00
      0.740000D+01      0.658034D-05      0.587785D+00      0.999989D+00
      0.745000D+01      0.399445D-05      0.309017D+00      0.999987D+00
      0.750000D+01      0.142255D-05      0.119077D-12      0.119465D+08
      0.755000D+01     -0.904442D-06     -0.309017D+00      0.999997D+00
      0.760000D+01     -0.281134D-05     -0.587785D+00      0.999995D+00
      0.765000D+01     -0.418648D-05     -0.809017D+00      0.999995D+00
      0.770000D+01     -0.498257D-05     -0.951057D+00      0.999995D+00
      0.775000D+01     -0.521167D-05     -0.100000D+01      0.999995D+00
      0.780000D+01     -0.493541D-05     -0.951057D+00      0.999995D+00
      0.785000D+01     -0.425227D-05     -0.809017D+00      0.999995D+00
      0.790000D+01     -0.328324D-05     -0.587785D+00      0.999994D+00
      0.795000D+01     -0.215765D-05     -0.309017D+00      0.999993D+00
      0.800000D+01     -0.100021D-05     -0.129857D-12      0.770236D+07
      0.805000D+01      0.796317D-07      0.309017D+00      0.100000D+01
      0.810000D+01      0.995330D-06      0.587785D+00      0.999998D+00
      0.815000D+01      0.168780D-05      0.809017D+00      0.999998D+00
      0.820000D+01      0.212676D-05      0.951057D+00      0.999998D+00
      0.825000D+01      0.230929D-05      0.100000D+01      0.999998D+00
      0.830000D+01      0.225613D-05      0.951057D+00      0.999998D+00
      0.835000D+01      0.200634D-05      0.809017D+00      0.999998D+00
      0.840000D+01      0.161112D-05      0.587785D+00      0.999997D+00
      0.845000D+01      0.112741D-05      0.309017D+00      0.999996D+00
      0.850000D+01      0.611871D-06      0.908997D-13      0.673127D+07
      0.855000D+01      0.115833D-06     -0.309017D+00      0.100000D+01
      0.860000D+01     -0.318610D-06     -0.587785D+00      0.999999D+00
      0.865000D+01     -0.661059D-06     -0.809017D+00      0.999999D+00
      0.870000D+01     -0.893865D-06     -0.951057D+00      0.999999D+00
      0.875000D+01     -0.101187D-05     -0.100000D+01      0.999999D+00
      0.880000D+01     -0.102108D-05     -0.951057D+00      0.999999D+00
      0.885000D+01     -0.936464D-06     -0.809017D+00      0.999999D+00
      0.890000D+01     -0.779321D-06     -0.587785D+00      0.999999D+00
      0.895000D+01     -0.574427D-06     -0.309017D+00      0.999998D+00
      0.900000D+01     -0.347278D-06     -0.448369D-13      0.774536D+07
      0.905000D+01     -0.121684D-06      0.309017D+00      0.100000D+01
      0.910000D+01      0.821470D-07      0.587785D+00      0.100000D+01
      0.915000D+01      0.248916D-06      0.809017D+00      0.100000D+01
      0.920000D+01      0.368903D-06      0.951057D+00      0.100000D+01
      0.925000D+01      0.438039D-06      0.100000D+01      0.100000D+01
      0.930000D+01      0.457451D-06      0.951057D+00      0.100000D+01
      0.935000D+01      0.432608D-06      0.809017D+00      0.999999D+00
      0.940000D+01      0.372191D-06      0.587785D+00      0.999999D+00
      0.945000D+01      0.286841D-06      0.309017D+00      0.999999D+00
      0.950000D+01      0.187914D-06      0.587954D-14      0.319607D+08
      0.955000D+01      0.863427D-07     -0.309017D+00      0.100000D+01
      0.960000D+01     -0.828848D-08     -0.587785D+00      0.100000D+01
      0.965000D+01     -0.884167D-07     -0.809017D+00      0.100000D+01
      0.970000D+01     -0.148892D-06     -0.951057D+00      0.100000D+01
      0.975000D+01     -0.187092D-06     -0.100000D+01      0.100000D+01
      0.980000D+01     -0.202795D-06     -0.951057D+00      0.100000D+01
      0.985000D+01     -0.197847D-06     -0.809017D+00      0.100000D+01
      0.990000D+01     -0.175698D-06     -0.587785D+00      0.100000D+01
      0.995000D+01     -0.140853D-06     -0.309017D+00      0.100000D+01
      0.100000D+02     -0.983140D-07      0.401833D-13      0.244664D+07
