        #E    recipe       exp     error
      0.00     10.65     10.65      0.00
      2.00     11.23     11.16      0.07
      4.00     11.82     11.71      0.11
      6.00     12.41     12.30      0.12
      8.00     13.01     12.93      0.08
     10.00     13.60     13.60      0.00
     12.00     14.45     14.33      0.12
     14.00     15.30     15.11      0.19
     16.00     16.15     15.95      0.19
     18.00     17.00     16.86      0.13
     20.00     17.85     17.85      0.00
     22.00     19.10     18.91      0.19
     24.00     20.35     20.06      0.29
     26.00     21.60     21.30      0.30
     28.00     22.85     22.65      0.20
     30.00     24.11     24.11      0.00
     32.00     25.99     25.70      0.29
     34.00     27.87     27.43      0.45
     36.00     29.76     29.30      0.46
     38.00     31.65     31.33      0.32
     40.00     33.54     33.54      0.00
     42.00     36.31     35.92      0.39
     44.00     39.09     38.50      0.59
     46.00     41.87     41.28      0.59
     48.00     44.65     44.26      0.39
     50.00     47.44     47.44      0.00
     52.00     51.06     50.81      0.25
     54.00     54.68     54.35      0.33
     56.00     58.31     58.02      0.28
     58.00     61.93     61.78      0.15
     60.00     65.56     65.56      0.00
     62.00     68.67     69.26      0.60
     64.00     71.77     72.79      1.02
     66.00     74.87     76.01      1.14
     68.00     77.96     78.80      0.85
     70.00     81.04     81.04      0.00
     72.00     81.06     82.60      1.53
     74.00     81.08     83.40      2.32
     76.00     81.08     83.40      2.32
     78.00     81.06     82.60      1.53
     80.00     81.04     81.04      0.00
     82.00     77.96     78.80      0.85
     84.00     74.87     76.01      1.14
     86.00     71.77     72.79      1.02
     88.00     68.67     69.26      0.60
     90.00     65.56     65.56      0.00
     92.00     61.93     61.78      0.15
     94.00     58.31     58.02      0.28
     96.00     54.68     54.35      0.33
     98.00     51.06     50.81      0.25
    100.00     47.44     47.44      0.00
    102.00     44.65     44.26      0.39
    104.00     41.87     41.28      0.59
    106.00     39.09     38.50      0.59
    108.00     36.31     35.92      0.39
    110.00     33.54     33.54      0.00
    112.00     31.65     31.33      0.32
    114.00     29.76     29.30      0.46
    116.00     27.87     27.43      0.45
    118.00     25.99     25.70      0.29
    120.00     24.11     24.11      0.00
    122.00     22.85     22.65      0.20
    124.00     21.60     21.30      0.30
    126.00     20.35     20.06      0.29
    128.00     19.10     18.91      0.19
    130.00     17.85     17.85      0.00
    132.00     17.00     16.86      0.13
    134.00     16.15     15.95      0.19
    136.00     15.30     15.11      0.18
    138.00     14.45     14.33      0.12
    140.00     13.60     13.60      0.00
    142.00     13.01     12.93      0.08
    144.00     12.42     12.30      0.12
    146.00     11.83     11.71      0.12
    148.00     11.24     11.16      0.08
    150.00     10.65     10.65      0.00
    152.00     10.23     10.17      0.06
    154.00      9.80      9.72      0.08
    156.00      9.38      9.30      0.08
    158.00      8.95      8.90      0.05
    160.00      8.53      8.53      0.00
    162.00      8.22      8.18      0.04
    164.00      7.91      7.85      0.05
    166.00      7.59      7.54      0.05
    168.00      7.28      7.25      0.03
    170.00      6.97      6.97      0.00
    172.00      6.74      6.71      0.02
    174.00      6.50      6.46      0.04
    176.00      6.27      6.23      0.04
    178.00      6.03      6.01      0.03
    180.00      5.80      5.80      0.00
    182.00      5.62      5.60      0.02
    184.00      5.44      5.40      0.03
    186.00      5.25      5.22      0.03
    188.00      5.07      5.05      0.02
    190.00      4.89      4.89      0.00
    192.00      4.75      4.73      0.01
    194.00      4.60      4.58      0.02
    196.00      4.46      4.44      0.02
    198.00      4.31      4.30      0.01
    200.00      4.17      4.17      0.00
