 #1/sqrt(n)      result        n
    0.7071          0.34       2
    0.5000          0.36       4
    0.3536          0.39       8
    0.2500          0.40      16
    0.1768          0.39      32
    0.1250          0.39      64
    0.0884          0.39     128
    0.0625          0.39     256
    0.0442          0.38     512
    0.0312          0.38    1024
    0.0221          0.37    2048
    0.0156          0.37    4096
    0.0110          0.37    8192
