 
      #t(days)          N(t)     N(t) True         error
  0.960000E+00  0.100965E+04  0.100965E+04  0.479968E-06
  0.970000E+00  0.100975E+04  0.100975E+04  0.484968E-06
  0.980000E+00  0.100985E+04  0.100985E+04  0.489967E-06
  0.990000E+00  0.100995E+04  0.100995E+04  0.494967E-06
  0.100000E+01  0.101005E+04  0.101005E+04  0.499967E-06
  0.101000E+01  0.101015E+04  0.101015E+04  0.504966E-06
  0.102000E+01  0.101025E+04  0.101025E+04  0.509966E-06
  0.103000E+01  0.101035E+04  0.101035E+04  0.514966E-06
  0.104000E+01  0.101045E+04  0.101045E+04  0.519965E-06
  0.105000E+01  0.101055E+04  0.101056E+04  0.524965E-06
  0.106000E+01  0.101066E+04  0.101066E+04  0.529965E-06
  0.107000E+01  0.101076E+04  0.101076E+04  0.534964E-06
  0.108000E+01  0.101086E+04  0.101086E+04  0.539964E-06
  0.109000E+01  0.101096E+04  0.101096E+04  0.544963E-06
  0.110000E+01  0.101106E+04  0.101106E+04  0.549963E-06
  0.111000E+01  0.101116E+04  0.101116E+04  0.554963E-06
  0.112000E+01  0.101126E+04  0.101126E+04  0.559962E-06
  0.113000E+01  0.101136E+04  0.101136E+04  0.564962E-06
  0.114000E+01  0.101146E+04  0.101147E+04  0.569962E-06
  0.115000E+01  0.101157E+04  0.101157E+04  0.574961E-06
  0.116000E+01  0.101167E+04  0.101167E+04  0.579961E-06
  0.117000E+01  0.101177E+04  0.101177E+04  0.584961E-06
  0.118000E+01  0.101187E+04  0.101187E+04  0.589960E-06
  0.119000E+01  0.101197E+04  0.101197E+04  0.594960E-06
  0.120000E+01  0.101207E+04  0.101207E+04  0.599960E-06
  0.121000E+01  0.101217E+04  0.101217E+04  0.604959E-06
  0.122000E+01  0.101227E+04  0.101227E+04  0.609959E-06
  0.123000E+01  0.101238E+04  0.101238E+04  0.614959E-06
  0.124000E+01  0.101248E+04  0.101248E+04  0.619958E-06
  0.125000E+01  0.101258E+04  0.101258E+04  0.624958E-06
  0.126000E+01  0.101268E+04  0.101268E+04  0.629958E-06
  0.127000E+01  0.101278E+04  0.101278E+04  0.634957E-06
  0.128000E+01  0.101288E+04  0.101288E+04  0.639957E-06
  0.129000E+01  0.101298E+04  0.101298E+04  0.644957E-06
  0.130000E+01  0.101308E+04  0.101308E+04  0.649956E-06
  0.131000E+01  0.101319E+04  0.101319E+04  0.654956E-06
  0.132000E+01  0.101329E+04  0.101329E+04  0.659956E-06
  0.133000E+01  0.101339E+04  0.101339E+04  0.664955E-06
  0.134000E+01  0.101349E+04  0.101349E+04  0.669955E-06
  0.135000E+01  0.101359E+04  0.101359E+04  0.674955E-06
  0.136000E+01  0.101369E+04  0.101369E+04  0.679954E-06
  0.137000E+01  0.101379E+04  0.101379E+04  0.684954E-06
  0.138000E+01  0.101389E+04  0.101390E+04  0.689954E-06
  0.139000E+01  0.101400E+04  0.101400E+04  0.694953E-06
  0.140000E+01  0.101410E+04  0.101410E+04  0.699953E-06
  0.141000E+01  0.101420E+04  0.101420E+04  0.704953E-06
  0.142000E+01  0.101430E+04  0.101430E+04  0.709952E-06
  0.143000E+01  0.101440E+04  0.101440E+04  0.714952E-06
  0.144000E+01  0.101450E+04  0.101450E+04  0.719952E-06
  0.145000E+01  0.101460E+04  0.101461E+04  0.724951E-06
  0.146000E+01  0.101471E+04  0.101471E+04  0.729951E-06
  0.147000E+01  0.101481E+04  0.101481E+04  0.734951E-06
  0.148000E+01  0.101491E+04  0.101491E+04  0.739950E-06
  0.149000E+01  0.101501E+04  0.101501E+04  0.744950E-06
  0.150000E+01  0.101511E+04  0.101511E+04  0.749950E-06
  0.151000E+01  0.101521E+04  0.101521E+04  0.754949E-06
  0.152000E+01  0.101532E+04  0.101532E+04  0.759949E-06
  0.153000E+01  0.101542E+04  0.101542E+04  0.764949E-06
  0.154000E+01  0.101552E+04  0.101552E+04  0.769948E-06
  0.155000E+01  0.101562E+04  0.101562E+04  0.774948E-06
  0.156000E+01  0.101572E+04  0.101572E+04  0.779948E-06
