 
      #t(days)          N(t)     N(t) True         error
  0.420000E+01  0.104289E+04  0.104289E+04  0.209986E-05
  0.421000E+01  0.104300E+04  0.104300E+04  0.210486E-05
  0.422000E+01  0.104310E+04  0.104310E+04  0.210986E-05
  0.423000E+01  0.104321E+04  0.104321E+04  0.211486E-05
  0.424000E+01  0.104331E+04  0.104331E+04  0.211986E-05
  0.425000E+01  0.104341E+04  0.104342E+04  0.212486E-05
  0.426000E+01  0.104352E+04  0.104352E+04  0.212986E-05
  0.427000E+01  0.104362E+04  0.104362E+04  0.213486E-05
  0.428000E+01  0.104373E+04  0.104373E+04  0.213985E-05
  0.429000E+01  0.104383E+04  0.104383E+04  0.214485E-05
  0.430000E+01  0.104394E+04  0.104394E+04  0.214985E-05
  0.431000E+01  0.104404E+04  0.104404E+04  0.215485E-05
  0.432000E+01  0.104414E+04  0.104415E+04  0.215985E-05
  0.433000E+01  0.104425E+04  0.104425E+04  0.216485E-05
  0.434000E+01  0.104435E+04  0.104436E+04  0.216985E-05
  0.435000E+01  0.104446E+04  0.104446E+04  0.217485E-05
  0.436000E+01  0.104456E+04  0.104456E+04  0.217985E-05
  0.437000E+01  0.104467E+04  0.104467E+04  0.218485E-05
  0.438000E+01  0.104477E+04  0.104477E+04  0.218985E-05
  0.439000E+01  0.104488E+04  0.104488E+04  0.219485E-05
  0.440000E+01  0.104498E+04  0.104498E+04  0.219985E-05
  0.441000E+01  0.104508E+04  0.104509E+04  0.220485E-05
  0.442000E+01  0.104519E+04  0.104519E+04  0.220985E-05
  0.443000E+01  0.104529E+04  0.104530E+04  0.221485E-05
  0.444000E+01  0.104540E+04  0.104540E+04  0.221985E-05
  0.445000E+01  0.104550E+04  0.104550E+04  0.222485E-05
  0.446000E+01  0.104561E+04  0.104561E+04  0.222985E-05
  0.447000E+01  0.104571E+04  0.104571E+04  0.223485E-05
  0.448000E+01  0.104582E+04  0.104582E+04  0.223985E-05
  0.449000E+01  0.104592E+04  0.104592E+04  0.224485E-05
  0.450000E+01  0.104603E+04  0.104603E+04  0.224985E-05
  0.451000E+01  0.104613E+04  0.104613E+04  0.225485E-05
  0.452000E+01  0.104623E+04  0.104624E+04  0.225985E-05
  0.453000E+01  0.104634E+04  0.104634E+04  0.226485E-05
  0.454000E+01  0.104644E+04  0.104645E+04  0.226985E-05
  0.455000E+01  0.104655E+04  0.104655E+04  0.227485E-05
  0.456000E+01  0.104665E+04  0.104666E+04  0.227985E-05
  0.457000E+01  0.104676E+04  0.104676E+04  0.228484E-05
  0.458000E+01  0.104686E+04  0.104687E+04  0.228984E-05
  0.459000E+01  0.104697E+04  0.104697E+04  0.229484E-05
  0.460000E+01  0.104707E+04  0.104707E+04  0.229984E-05
  0.461000E+01  0.104718E+04  0.104718E+04  0.230484E-05
  0.462000E+01  0.104728E+04  0.104728E+04  0.230984E-05
  0.463000E+01  0.104739E+04  0.104739E+04  0.231484E-05
  0.464000E+01  0.104749E+04  0.104749E+04  0.231984E-05
  0.465000E+01  0.104760E+04  0.104760E+04  0.232484E-05
  0.466000E+01  0.104770E+04  0.104770E+04  0.232984E-05
  0.467000E+01  0.104781E+04  0.104781E+04  0.233484E-05
  0.468000E+01  0.104791E+04  0.104791E+04  0.233984E-05
  0.469000E+01  0.104801E+04  0.104802E+04  0.234484E-05
  0.470000E+01  0.104812E+04  0.104812E+04  0.234984E-05
  0.471000E+01  0.104822E+04  0.104823E+04  0.235484E-05
  0.472000E+01  0.104833E+04  0.104833E+04  0.235984E-05
  0.473000E+01  0.104843E+04  0.104844E+04  0.236484E-05
  0.474000E+01  0.104854E+04  0.104854E+04  0.236984E-05
  0.475000E+01  0.104864E+04  0.104865E+04  0.237484E-05
  0.476000E+01  0.104875E+04  0.104875E+04  0.237984E-05
  0.477000E+01  0.104885E+04  0.104886E+04  0.238484E-05
  0.478000E+01  0.104896E+04  0.104896E+04  0.238984E-05
  0.479000E+01  0.104906E+04  0.104907E+04  0.239484E-05
  0.480000E+01  0.104917E+04  0.104917E+04  0.239984E-05
  0.481000E+01  0.104927E+04  0.104928E+04  0.240484E-05
  0.482000E+01  0.104938E+04  0.104938E+04  0.240984E-05
  0.483000E+01  0.104948E+04  0.104949E+04  0.241484E-05
  0.484000E+01  0.104959E+04  0.104959E+04  0.241984E-05
  0.485000E+01  0.104969E+04  0.104970E+04  0.242484E-05
  0.486000E+01  0.104980E+04  0.104980E+04  0.242983E-05
  0.487000E+01  0.104990E+04  0.104991E+04  0.243483E-05
  0.488000E+01  0.105001E+04  0.105001E+04  0.243983E-05
  0.489000E+01  0.105011E+04  0.105012E+04  0.244483E-05
  0.490000E+01  0.105022E+04  0.105022E+04  0.244983E-05
  0.491000E+01  0.105032E+04  0.105033E+04  0.245483E-05
  0.492000E+01  0.105043E+04  0.105043E+04  0.245983E-05
  0.493000E+01  0.105053E+04  0.105054E+04  0.246483E-05
  0.494000E+01  0.105064E+04  0.105064E+04  0.246983E-05
  0.495000E+01  0.105074E+04  0.105075E+04  0.247483E-05
  0.496000E+01  0.105085E+04  0.105085E+04  0.247983E-05
  0.497000E+01  0.105095E+04  0.105096E+04  0.248483E-05
  0.498000E+01  0.105106E+04  0.105106E+04  0.248983E-05
  0.499000E+01  0.105116E+04  0.105117E+04  0.249483E-05
  0.500000E+01  0.105127E+04  0.105127E+04  0.249983E-05
  0.501000E+01  0.105137E+04  0.105138E+04  0.250483E-05
  0.502000E+01  0.105148E+04  0.105148E+04  0.250983E-05
  0.503000E+01  0.105158E+04  0.105159E+04  0.251483E-05
  0.504000E+01  0.105169E+04  0.105169E+04  0.251983E-05
  0.505000E+01  0.105179E+04  0.105180E+04  0.252483E-05
  0.506000E+01  0.105190E+04  0.105190E+04  0.252983E-05
  0.507000E+01  0.105200E+04  0.105201E+04  0.253483E-05
  0.508000E+01  0.105211E+04  0.105211E+04  0.253983E-05
  0.509000E+01  0.105221E+04  0.105222E+04  0.254483E-05
  0.510000E+01  0.105232E+04  0.105232E+04  0.254983E-05
  0.511000E+01  0.105243E+04  0.105243E+04  0.255483E-05
  0.512000E+01  0.105253E+04  0.105253E+04  0.255983E-05
  0.513000E+01  0.105264E+04  0.105264E+04  0.256483E-05
  0.514000E+01  0.105274E+04  0.105274E+04  0.256983E-05
  0.515000E+01  0.105285E+04  0.105285E+04  0.257482E-05
  0.516000E+01  0.105295E+04  0.105295E+04  0.257982E-05
  0.517000E+01  0.105306E+04  0.105306E+04  0.258482E-05
  0.518000E+01  0.105316E+04  0.105317E+04  0.258982E-05
  0.519000E+01  0.105327E+04  0.105327E+04  0.259482E-05
  0.520000E+01  0.105337E+04  0.105338E+04  0.259982E-05
  0.521000E+01  0.105348E+04  0.105348E+04  0.260482E-05
  0.522000E+01  0.105358E+04  0.105359E+04  0.260982E-05
  0.523000E+01  0.105369E+04  0.105369E+04  0.261482E-05
  0.524000E+01  0.105379E+04  0.105380E+04  0.261982E-05
  0.525000E+01  0.105390E+04  0.105390E+04  0.262482E-05
  0.526000E+01  0.105401E+04  0.105401E+04  0.262982E-05
  0.527000E+01  0.105411E+04  0.105411E+04  0.263482E-05
  0.528000E+01  0.105422E+04  0.105422E+04  0.263982E-05
  0.529000E+01  0.105432E+04  0.105432E+04  0.264482E-05
  0.530000E+01  0.105443E+04  0.105443E+04  0.264982E-05
  0.531000E+01  0.105453E+04  0.105454E+04  0.265482E-05
  0.532000E+01  0.105464E+04  0.105464E+04  0.265982E-05
  0.533000E+01  0.105474E+04  0.105475E+04  0.266482E-05
  0.534000E+01  0.105485E+04  0.105485E+04  0.266982E-05
  0.535000E+01  0.105495E+04  0.105496E+04  0.267482E-05
  0.536000E+01  0.105506E+04  0.105506E+04  0.267982E-05
  0.537000E+01  0.105517E+04  0.105517E+04  0.268482E-05
  0.538000E+01  0.105527E+04  0.105527E+04  0.268982E-05
  0.539000E+01  0.105538E+04  0.105538E+04  0.269482E-05
  0.540000E+01  0.105548E+04  0.105548E+04  0.269982E-05
  0.541000E+01  0.105559E+04  0.105559E+04  0.270482E-05
  0.542000E+01  0.105569E+04  0.105570E+04  0.270982E-05
  0.543000E+01  0.105580E+04  0.105580E+04  0.271482E-05
  0.544000E+01  0.105590E+04  0.105591E+04  0.271981E-05
  0.545000E+01  0.105601E+04  0.105601E+04  0.272481E-05
  0.546000E+01  0.105612E+04  0.105612E+04  0.272981E-05
  0.547000E+01  0.105622E+04  0.105622E+04  0.273481E-05
  0.548000E+01  0.105633E+04  0.105633E+04  0.273981E-05
  0.549000E+01  0.105643E+04  0.105643E+04  0.274481E-05
  0.550000E+01  0.105654E+04  0.105654E+04  0.274981E-05
  0.551000E+01  0.105664E+04  0.105665E+04  0.275481E-05
  0.552000E+01  0.105675E+04  0.105675E+04  0.275981E-05
  0.553000E+01  0.105685E+04  0.105686E+04  0.276481E-05
  0.554000E+01  0.105696E+04  0.105696E+04  0.276981E-05
  0.555000E+01  0.105707E+04  0.105707E+04  0.277481E-05
  0.556000E+01  0.105717E+04  0.105717E+04  0.277981E-05
  0.557000E+01  0.105728E+04  0.105728E+04  0.278481E-05
  0.558000E+01  0.105738E+04  0.105739E+04  0.278981E-05
  0.559000E+01  0.105749E+04  0.105749E+04  0.279481E-05
  0.560000E+01  0.105759E+04  0.105760E+04  0.279981E-05
  0.561000E+01  0.105770E+04  0.105770E+04  0.280481E-05
  0.562000E+01  0.105781E+04  0.105781E+04  0.280981E-05
  0.563000E+01  0.105791E+04  0.105792E+04  0.281481E-05
  0.564000E+01  0.105802E+04  0.105802E+04  0.281981E-05
  0.565000E+01  0.105812E+04  0.105813E+04  0.282481E-05
  0.566000E+01  0.105823E+04  0.105823E+04  0.282981E-05
  0.567000E+01  0.105834E+04  0.105834E+04  0.283481E-05
  0.568000E+01  0.105844E+04  0.105844E+04  0.283981E-05
  0.569000E+01  0.105855E+04  0.105855E+04  0.284481E-05
  0.570000E+01  0.105865E+04  0.105866E+04  0.284981E-05
  0.571000E+01  0.105876E+04  0.105876E+04  0.285481E-05
  0.572000E+01  0.105886E+04  0.105887E+04  0.285981E-05
  0.573000E+01  0.105897E+04  0.105897E+04  0.286480E-05
  0.574000E+01  0.105908E+04  0.105908E+04  0.286980E-05
  0.575000E+01  0.105918E+04  0.105919E+04  0.287480E-05
  0.576000E+01  0.105929E+04  0.105929E+04  0.287980E-05
  0.577000E+01  0.105939E+04  0.105940E+04  0.288480E-05
  0.578000E+01  0.105950E+04  0.105950E+04  0.288980E-05
  0.579000E+01  0.105961E+04  0.105961E+04  0.289480E-05
  0.580000E+01  0.105971E+04  0.105971E+04  0.289980E-05
  0.581000E+01  0.105982E+04  0.105982E+04  0.290480E-05
  0.582000E+01  0.105992E+04  0.105993E+04  0.290980E-05
  0.583000E+01  0.106003E+04  0.106003E+04  0.291480E-05
  0.584000E+01  0.106014E+04  0.106014E+04  0.291980E-05
  0.585000E+01  0.106024E+04  0.106024E+04  0.292480E-05
  0.586000E+01  0.106035E+04  0.106035E+04  0.292980E-05
  0.587000E+01  0.106045E+04  0.106046E+04  0.293480E-05
  0.588000E+01  0.106056E+04  0.106056E+04  0.293980E-05
  0.589000E+01  0.106067E+04  0.106067E+04  0.294480E-05
  0.590000E+01  0.106077E+04  0.106078E+04  0.294980E-05
  0.591000E+01  0.106088E+04  0.106088E+04  0.295480E-05
  0.592000E+01  0.106098E+04  0.106099E+04  0.295980E-05
  0.593000E+01  0.106109E+04  0.106109E+04  0.296480E-05
  0.594000E+01  0.106120E+04  0.106120E+04  0.296980E-05
  0.595000E+01  0.106130E+04  0.106131E+04  0.297480E-05
  0.596000E+01  0.106141E+04  0.106141E+04  0.297980E-05
  0.597000E+01  0.106151E+04  0.106152E+04  0.298480E-05
  0.598000E+01  0.106162E+04  0.106162E+04  0.298980E-05
  0.599000E+01  0.106173E+04  0.106173E+04  0.299480E-05
  0.600000E+01  0.106183E+04  0.106184E+04  0.299980E-05
  0.601000E+01  0.106194E+04  0.106194E+04  0.300480E-05
  0.602000E+01  0.106205E+04  0.106205E+04  0.300979E-05
  0.603000E+01  0.106215E+04  0.106216E+04  0.301479E-05
  0.604000E+01  0.106226E+04  0.106226E+04  0.301979E-05
  0.605000E+01  0.106236E+04  0.106237E+04  0.302479E-05
  0.606000E+01  0.106247E+04  0.106247E+04  0.302979E-05
  0.607000E+01  0.106258E+04  0.106258E+04  0.303479E-05
  0.608000E+01  0.106268E+04  0.106269E+04  0.303979E-05
  0.609000E+01  0.106279E+04  0.106279E+04  0.304479E-05
  0.610000E+01  0.106290E+04  0.106290E+04  0.304979E-05
  0.611000E+01  0.106300E+04  0.106301E+04  0.305479E-05
  0.612000E+01  0.106311E+04  0.106311E+04  0.305979E-05
  0.613000E+01  0.106321E+04  0.106322E+04  0.306479E-05
  0.614000E+01  0.106332E+04  0.106332E+04  0.306979E-05
  0.615000E+01  0.106343E+04  0.106343E+04  0.307479E-05
  0.616000E+01  0.106353E+04  0.106354E+04  0.307979E-05
  0.617000E+01  0.106364E+04  0.106364E+04  0.308479E-05
  0.618000E+01  0.106375E+04  0.106375E+04  0.308979E-05
  0.619000E+01  0.106385E+04  0.106386E+04  0.309479E-05
  0.620000E+01  0.106396E+04  0.106396E+04  0.309979E-05
  0.621000E+01  0.106407E+04  0.106407E+04  0.310479E-05
  0.622000E+01  0.106417E+04  0.106418E+04  0.310979E-05
  0.623000E+01  0.106428E+04  0.106428E+04  0.311479E-05
  0.624000E+01  0.106438E+04  0.106439E+04  0.311979E-05
  0.625000E+01  0.106449E+04  0.106449E+04  0.312479E-05
  0.626000E+01  0.106460E+04  0.106460E+04  0.312979E-05
  0.627000E+01  0.106470E+04  0.106471E+04  0.313479E-05
  0.628000E+01  0.106481E+04  0.106481E+04  0.313979E-05
  0.629000E+01  0.106492E+04  0.106492E+04  0.314479E-05
  0.630000E+01  0.106502E+04  0.106503E+04  0.314978E-05
  0.631000E+01  0.106513E+04  0.106513E+04  0.315478E-05
  0.632000E+01  0.106524E+04  0.106524E+04  0.315978E-05
  0.633000E+01  0.106534E+04  0.106535E+04  0.316478E-05
  0.634000E+01  0.106545E+04  0.106545E+04  0.316978E-05
  0.635000E+01  0.106556E+04  0.106556E+04  0.317478E-05
  0.636000E+01  0.106566E+04  0.106567E+04  0.317978E-05
  0.637000E+01  0.106577E+04  0.106577E+04  0.318478E-05
  0.638000E+01  0.106588E+04  0.106588E+04  0.318978E-05
  0.639000E+01  0.106598E+04  0.106599E+04  0.319478E-05
  0.640000E+01  0.106609E+04  0.106609E+04  0.319978E-05
  0.641000E+01  0.106620E+04  0.106620E+04  0.320478E-05
  0.642000E+01  0.106630E+04  0.106631E+04  0.320978E-05
  0.643000E+01  0.106641E+04  0.106641E+04  0.321478E-05
  0.644000E+01  0.106652E+04  0.106652E+04  0.321978E-05
  0.645000E+01  0.106662E+04  0.106663E+04  0.322478E-05
  0.646000E+01  0.106673E+04  0.106673E+04  0.322978E-05
  0.647000E+01  0.106684E+04  0.106684E+04  0.323478E-05
  0.648000E+01  0.106694E+04  0.106695E+04  0.323978E-05
  0.649000E+01  0.106705E+04  0.106705E+04  0.324478E-05
  0.650000E+01  0.106716E+04  0.106716E+04  0.324978E-05
  0.651000E+01  0.106726E+04  0.106727E+04  0.325478E-05
  0.652000E+01  0.106737E+04  0.106737E+04  0.325978E-05
  0.653000E+01  0.106748E+04  0.106748E+04  0.326478E-05
  0.654000E+01  0.106758E+04  0.106759E+04  0.326978E-05
  0.655000E+01  0.106769E+04  0.106769E+04  0.327478E-05
  0.656000E+01  0.106780E+04  0.106780E+04  0.327978E-05
  0.657000E+01  0.106790E+04  0.106791E+04  0.328478E-05
  0.658000E+01  0.106801E+04  0.106801E+04  0.328978E-05
  0.659000E+01  0.106812E+04  0.106812E+04  0.329477E-05
  0.660000E+01  0.106822E+04  0.106823E+04  0.329977E-05
  0.661000E+01  0.106833E+04  0.106833E+04  0.330477E-05
  0.662000E+01  0.106844E+04  0.106844E+04  0.330977E-05
  0.663000E+01  0.106854E+04  0.106855E+04  0.331477E-05
  0.664000E+01  0.106865E+04  0.106865E+04  0.331977E-05
  0.665000E+01  0.106876E+04  0.106876E+04  0.332477E-05
  0.666000E+01  0.106886E+04  0.106887E+04  0.332977E-05
  0.667000E+01  0.106897E+04  0.106897E+04  0.333477E-05
  0.668000E+01  0.106908E+04  0.106908E+04  0.333977E-05
  0.669000E+01  0.106918E+04  0.106919E+04  0.334477E-05
  0.670000E+01  0.106929E+04  0.106930E+04  0.334977E-05
  0.671000E+01  0.106940E+04  0.106940E+04  0.335477E-05
  0.672000E+01  0.106951E+04  0.106951E+04  0.335977E-05
  0.673000E+01  0.106961E+04  0.106962E+04  0.336477E-05
  0.674000E+01  0.106972E+04  0.106972E+04  0.336977E-05
  0.675000E+01  0.106983E+04  0.106983E+04  0.337477E-05
  0.676000E+01  0.106993E+04  0.106994E+04  0.337977E-05
  0.677000E+01  0.107004E+04  0.107004E+04  0.338477E-05
  0.678000E+01  0.107015E+04  0.107015E+04  0.338977E-05
  0.679000E+01  0.107025E+04  0.107026E+04  0.339477E-05
  0.680000E+01  0.107036E+04  0.107037E+04  0.339977E-05
  0.681000E+01  0.107047E+04  0.107047E+04  0.340477E-05
  0.682000E+01  0.107058E+04  0.107058E+04  0.340977E-05
  0.683000E+01  0.107068E+04  0.107069E+04  0.341477E-05
  0.684000E+01  0.107079E+04  0.107079E+04  0.341977E-05
  0.685000E+01  0.107090E+04  0.107090E+04  0.342477E-05
  0.686000E+01  0.107100E+04  0.107101E+04  0.342977E-05
  0.687000E+01  0.107111E+04  0.107111E+04  0.343476E-05
  0.688000E+01  0.107122E+04  0.107122E+04  0.343976E-05
  0.689000E+01  0.107133E+04  0.107133E+04  0.344476E-05
  0.690000E+01  0.107143E+04  0.107144E+04  0.344976E-05
  0.691000E+01  0.107154E+04  0.107154E+04  0.345476E-05
  0.692000E+01  0.107165E+04  0.107165E+04  0.345976E-05
  0.693000E+01  0.107175E+04  0.107176E+04  0.346476E-05
  0.694000E+01  0.107186E+04  0.107186E+04  0.346976E-05
  0.695000E+01  0.107197E+04  0.107197E+04  0.347476E-05
  0.696000E+01  0.107208E+04  0.107208E+04  0.347976E-05
  0.697000E+01  0.107218E+04  0.107219E+04  0.348476E-05
  0.698000E+01  0.107229E+04  0.107229E+04  0.348976E-05
  0.699000E+01  0.107240E+04  0.107240E+04  0.349476E-05
  0.700000E+01  0.107250E+04  0.107251E+04  0.349976E-05
  0.701000E+01  0.107261E+04  0.107262E+04  0.350476E-05
  0.702000E+01  0.107272E+04  0.107272E+04  0.350976E-05
  0.703000E+01  0.107283E+04  0.107283E+04  0.351476E-05
  0.704000E+01  0.107293E+04  0.107294E+04  0.351976E-05
  0.705000E+01  0.107304E+04  0.107304E+04  0.352476E-05
  0.706000E+01  0.107315E+04  0.107315E+04  0.352976E-05
  0.707000E+01  0.107326E+04  0.107326E+04  0.353476E-05
  0.708000E+01  0.107336E+04  0.107337E+04  0.353976E-05
  0.709000E+01  0.107347E+04  0.107347E+04  0.354476E-05
  0.710000E+01  0.107358E+04  0.107358E+04  0.354976E-05
  0.711000E+01  0.107368E+04  0.107369E+04  0.355476E-05
  0.712000E+01  0.107379E+04  0.107380E+04  0.355976E-05
  0.713000E+01  0.107390E+04  0.107390E+04  0.356476E-05
  0.714000E+01  0.107401E+04  0.107401E+04  0.356976E-05
  0.715000E+01  0.107411E+04  0.107412E+04  0.357476E-05
  0.716000E+01  0.107422E+04  0.107423E+04  0.357975E-05
  0.717000E+01  0.107433E+04  0.107433E+04  0.358475E-05
  0.718000E+01  0.107444E+04  0.107444E+04  0.358975E-05
  0.719000E+01  0.107454E+04  0.107455E+04  0.359475E-05
  0.720000E+01  0.107465E+04  0.107466E+04  0.359975E-05
  0.721000E+01  0.107476E+04  0.107476E+04  0.360475E-05
  0.722000E+01  0.107487E+04  0.107487E+04  0.360975E-05
  0.723000E+01  0.107497E+04  0.107498E+04  0.361475E-05
  0.724000E+01  0.107508E+04  0.107509E+04  0.361975E-05
  0.725000E+01  0.107519E+04  0.107519E+04  0.362475E-05
  0.726000E+01  0.107530E+04  0.107530E+04  0.362975E-05
  0.727000E+01  0.107540E+04  0.107541E+04  0.363475E-05
  0.728000E+01  0.107551E+04  0.107552E+04  0.363975E-05
  0.729000E+01  0.107562E+04  0.107562E+04  0.364475E-05
  0.730000E+01  0.107573E+04  0.107573E+04  0.364975E-05
  0.731000E+01  0.107583E+04  0.107584E+04  0.365475E-05
  0.732000E+01  0.107594E+04  0.107595E+04  0.365975E-05
  0.733000E+01  0.107605E+04  0.107605E+04  0.366475E-05
  0.734000E+01  0.107616E+04  0.107616E+04  0.366975E-05
  0.735000E+01  0.107626E+04  0.107627E+04  0.367475E-05
  0.736000E+01  0.107637E+04  0.107638E+04  0.367975E-05
  0.737000E+01  0.107648E+04  0.107648E+04  0.368475E-05
  0.738000E+01  0.107659E+04  0.107659E+04  0.368975E-05
  0.739000E+01  0.107670E+04  0.107670E+04  0.369475E-05
  0.740000E+01  0.107680E+04  0.107681E+04  0.369975E-05
  0.741000E+01  0.107691E+04  0.107691E+04  0.370475E-05
  0.742000E+01  0.107702E+04  0.107702E+04  0.370975E-05
  0.743000E+01  0.107713E+04  0.107713E+04  0.371475E-05
  0.744000E+01  0.107723E+04  0.107724E+04  0.371974E-05
  0.745000E+01  0.107734E+04  0.107735E+04  0.372474E-05
  0.746000E+01  0.107745E+04  0.107745E+04  0.372974E-05
  0.747000E+01  0.107756E+04  0.107756E+04  0.373474E-05
  0.748000E+01  0.107766E+04  0.107767E+04  0.373974E-05
  0.749000E+01  0.107777E+04  0.107778E+04  0.374474E-05
  0.750000E+01  0.107788E+04  0.107788E+04  0.374974E-05
  0.751000E+01  0.107799E+04  0.107799E+04  0.375474E-05
  0.752000E+01  0.107810E+04  0.107810E+04  0.375974E-05
  0.753000E+01  0.107820E+04  0.107821E+04  0.376474E-05
  0.754000E+01  0.107831E+04  0.107832E+04  0.376974E-05
  0.755000E+01  0.107842E+04  0.107842E+04  0.377474E-05
  0.756000E+01  0.107853E+04  0.107853E+04  0.377974E-05
  0.757000E+01  0.107863E+04  0.107864E+04  0.378474E-05
  0.758000E+01  0.107874E+04  0.107875E+04  0.378974E-05
  0.759000E+01  0.107885E+04  0.107885E+04  0.379474E-05
  0.760000E+01  0.107896E+04  0.107896E+04  0.379974E-05
  0.761000E+01  0.107907E+04  0.107907E+04  0.380474E-05
  0.762000E+01  0.107917E+04  0.107918E+04  0.380974E-05
  0.763000E+01  0.107928E+04  0.107929E+04  0.381474E-05
  0.764000E+01  0.107939E+04  0.107939E+04  0.381974E-05
  0.765000E+01  0.107950E+04  0.107950E+04  0.382474E-05
  0.766000E+01  0.107961E+04  0.107961E+04  0.382974E-05
  0.767000E+01  0.107971E+04  0.107972E+04  0.383474E-05
  0.768000E+01  0.107982E+04  0.107983E+04  0.383974E-05
  0.769000E+01  0.107993E+04  0.107993E+04  0.384474E-05
  0.770000E+01  0.108004E+04  0.108004E+04  0.384974E-05
  0.771000E+01  0.108015E+04  0.108015E+04  0.385474E-05
  0.772000E+01  0.108025E+04  0.108026E+04  0.385974E-05
  0.773000E+01  0.108036E+04  0.108037E+04  0.386473E-05
  0.774000E+01  0.108047E+04  0.108047E+04  0.386973E-05
  0.775000E+01  0.108058E+04  0.108058E+04  0.387473E-05
  0.776000E+01  0.108069E+04  0.108069E+04  0.387973E-05
  0.777000E+01  0.108079E+04  0.108080E+04  0.388473E-05
  0.778000E+01  0.108090E+04  0.108091E+04  0.388973E-05
  0.779000E+01  0.108101E+04  0.108101E+04  0.389473E-05
  0.780000E+01  0.108112E+04  0.108112E+04  0.389973E-05
  0.781000E+01  0.108123E+04  0.108123E+04  0.390473E-05
  0.782000E+01  0.108133E+04  0.108134E+04  0.390973E-05
  0.783000E+01  0.108144E+04  0.108145E+04  0.391473E-05
  0.784000E+01  0.108155E+04  0.108156E+04  0.391973E-05
  0.785000E+01  0.108166E+04  0.108166E+04  0.392473E-05
  0.786000E+01  0.108177E+04  0.108177E+04  0.392973E-05
  0.787000E+01  0.108188E+04  0.108188E+04  0.393473E-05
  0.788000E+01  0.108198E+04  0.108199E+04  0.393973E-05
  0.789000E+01  0.108209E+04  0.108210E+04  0.394473E-05
  0.790000E+01  0.108220E+04  0.108220E+04  0.394973E-05
  0.791000E+01  0.108231E+04  0.108231E+04  0.395473E-05
  0.792000E+01  0.108242E+04  0.108242E+04  0.395973E-05
  0.793000E+01  0.108252E+04  0.108253E+04  0.396473E-05
  0.794000E+01  0.108263E+04  0.108264E+04  0.396973E-05
  0.795000E+01  0.108274E+04  0.108275E+04  0.397473E-05
  0.796000E+01  0.108285E+04  0.108285E+04  0.397973E-05
  0.797000E+01  0.108296E+04  0.108296E+04  0.398473E-05
  0.798000E+01  0.108307E+04  0.108307E+04  0.398973E-05
  0.799000E+01  0.108317E+04  0.108318E+04  0.399473E-05
  0.800000E+01  0.108328E+04  0.108329E+04  0.399973E-05
  0.801000E+01  0.108339E+04  0.108340E+04  0.400472E-05
  0.802000E+01  0.108350E+04  0.108350E+04  0.400972E-05
  0.803000E+01  0.108361E+04  0.108361E+04  0.401472E-05
  0.804000E+01  0.108372E+04  0.108372E+04  0.401972E-05
  0.805000E+01  0.108382E+04  0.108383E+04  0.402472E-05
  0.806000E+01  0.108393E+04  0.108394E+04  0.402972E-05
  0.807000E+01  0.108404E+04  0.108405E+04  0.403472E-05
  0.808000E+01  0.108415E+04  0.108415E+04  0.403972E-05
  0.809000E+01  0.108426E+04  0.108426E+04  0.404472E-05
  0.810000E+01  0.108437E+04  0.108437E+04  0.404972E-05
  0.811000E+01  0.108447E+04  0.108448E+04  0.405472E-05
  0.812000E+01  0.108458E+04  0.108459E+04  0.405972E-05
  0.813000E+01  0.108469E+04  0.108470E+04  0.406472E-05
  0.814000E+01  0.108480E+04  0.108480E+04  0.406972E-05
  0.815000E+01  0.108491E+04  0.108491E+04  0.407472E-05
  0.816000E+01  0.108502E+04  0.108502E+04  0.407972E-05
  0.817000E+01  0.108513E+04  0.108513E+04  0.408472E-05
  0.818000E+01  0.108523E+04  0.108524E+04  0.408972E-05
  0.819000E+01  0.108534E+04  0.108535E+04  0.409472E-05
  0.820000E+01  0.108545E+04  0.108546E+04  0.409972E-05
  0.821000E+01  0.108556E+04  0.108556E+04  0.410472E-05
  0.822000E+01  0.108567E+04  0.108567E+04  0.410972E-05
  0.823000E+01  0.108578E+04  0.108578E+04  0.411472E-05
  0.824000E+01  0.108589E+04  0.108589E+04  0.411972E-05
  0.825000E+01  0.108599E+04  0.108600E+04  0.412472E-05
  0.826000E+01  0.108610E+04  0.108611E+04  0.412972E-05
  0.827000E+01  0.108621E+04  0.108622E+04  0.413472E-05
  0.828000E+01  0.108632E+04  0.108632E+04  0.413972E-05
  0.829000E+01  0.108643E+04  0.108643E+04  0.414471E-05
  0.830000E+01  0.108654E+04  0.108654E+04  0.414971E-05
  0.831000E+01  0.108665E+04  0.108665E+04  0.415471E-05
  0.832000E+01  0.108675E+04  0.108676E+04  0.415971E-05
  0.833000E+01  0.108686E+04  0.108687E+04  0.416471E-05
  0.834000E+01  0.108697E+04  0.108698E+04  0.416971E-05
  0.835000E+01  0.108708E+04  0.108709E+04  0.417471E-05
  0.836000E+01  0.108719E+04  0.108719E+04  0.417971E-05
  0.837000E+01  0.108730E+04  0.108730E+04  0.418471E-05
  0.838000E+01  0.108741E+04  0.108741E+04  0.418971E-05
  0.839000E+01  0.108752E+04  0.108752E+04  0.419471E-05
  0.840000E+01  0.108762E+04  0.108763E+04  0.419971E-05
  0.841000E+01  0.108773E+04  0.108774E+04  0.420471E-05
  0.842000E+01  0.108784E+04  0.108785E+04  0.420971E-05
