   #x=   0.10
             #h           3-point     Error             5-point          Error
        0.6048E-02     -0.9961E+00    0.109504E-02       -0.99E+00        0.44E-02
        0.5746E-02     -0.9961E+00    0.109504E-02       -0.99E+00        0.33E-02
        0.5459E-02     -0.1000E+01    0.502091E-02       -0.99E+00        0.29E-02
        0.5186E-02     -0.9922E+00    0.283082E-02       -0.99E+00        0.21E-02
        0.4927E-02     -0.9922E+00    0.283082E-02       -0.10E+01        0.43E-03
        0.4680E-02     -0.9922E+00    0.283082E-02       -0.99E+00        0.89E-03
        0.4446E-02     -0.1000E+01    0.502091E-02       -0.99E+00        0.61E-02
        0.4224E-02     -0.9922E+00    0.283082E-02       -0.99E+00        0.61E-02
        0.4013E-02     -0.1000E+01    0.502091E-02       -0.10E+01        0.20E-02
        0.3812E-02     -0.1000E+01    0.502091E-02       -0.98E+00        0.11E-01
        0.3621E-02     -0.1000E+01    0.502091E-02       -0.99E+00        0.12E-02
        0.3440E-02     -0.1000E+01    0.502091E-02       -0.99E+00        0.13E-02
        0.3268E-02     -0.1000E+01    0.502091E-02       -0.10E+01        0.19E-02
        0.3105E-02     -0.9844E+00    0.106825E-01       -0.99E+00        0.58E-02
        0.2950E-02     -0.9844E+00    0.106825E-01       -0.99E+00        0.86E-02
        0.2802E-02     -0.1000E+01    0.502091E-02       -0.97E+00        0.24E-01
        0.2662E-02     -0.1000E+01    0.502091E-02       -0.99E+00        0.82E-02
        0.2529E-02     -0.1000E+01    0.502091E-02       -0.99E+00        0.95E-03
        0.2403E-02     -0.1000E+01    0.502091E-02       -0.99E+00        0.37E-02
        0.2282E-02     -0.1000E+01    0.502091E-02       -0.98E+00        0.19E-01
        0.2168E-02     -0.1031E+01    0.364278E-01       -0.98E+00        0.15E-01
        0.2060E-02     -0.1000E+01    0.502091E-02       -0.97E+00        0.21E-01
        0.1957E-02     -0.1000E+01    0.502091E-02       -0.10E+01        0.12E-02
        0.1859E-02     -0.1000E+01    0.502091E-02       -0.10E+01        0.17E-01
        0.1766E-02     -0.1000E+01    0.502091E-02       -0.97E+00        0.27E-01
        0.1678E-02     -0.1000E+01    0.502091E-02       -0.10E+01        0.21E-01
        0.1594E-02     -0.1062E+01    0.678347E-01       -0.10E+01        0.61E-02
        0.1514E-02     -0.1000E+01    0.502091E-02       -0.97E+00        0.25E-01
        0.1438E-02     -0.1062E+01    0.678347E-01       -0.92E+00        0.74E-01
        0.1367E-02     -0.1000E+01    0.502091E-02       -0.10E+01        0.26E-01
        0.1298E-02     -0.1000E+01    0.502091E-02       -0.94E+00        0.52E-01
        0.1233E-02     -0.1000E+01    0.502091E-02       -0.10E+01        0.50E-01
        0.1172E-02     -0.1000E+01    0.502091E-02       -0.93E+00        0.69E-01
        0.1113E-02     -0.1000E+01    0.502091E-02       -0.10E+01        0.31E-01
        0.1057E-02     -0.1000E+01    0.502091E-02       -0.85E+00        0.14E+00
        0.1005E-02     -0.8750E+00    0.120607E+00       -0.95E+00        0.50E-01
        0.9543E-03     -0.1000E+01    0.502091E-02       -0.87E+00        0.12E+00
        0.9066E-03     -0.1000E+01    0.502091E-02       -0.97E+00        0.28E-01
        0.8613E-03     -0.7500E+00    0.246234E+00       -0.86E+00        0.14E+00
        0.8182E-03     -0.1000E+01    0.502091E-02       -0.95E+00        0.46E-01
        0.7773E-03     -0.1000E+01    0.502091E-02       -0.11E+01        0.58E-01
        0.7384E-03     -0.1000E+01    0.502091E-02       -0.12E+01        0.17E+00
        0.7015E-03     -0.1000E+01    0.502091E-02       -0.65E+00        0.35E+00
        0.6664E-03     -0.1000E+01    0.502091E-02       -0.72E+00        0.28E+00
        0.6331E-03     -0.1000E+01    0.502091E-02       -0.79E+00        0.20E+00
        0.6015E-03     -0.1500E+01    0.507531E+00       -0.88E+00        0.12E+00
        0.5714E-03     -0.1000E+01    0.502091E-02       -0.97E+00        0.21E-01
        0.5428E-03     -0.1000E+01    0.502091E-02       -0.11E+01        0.84E-01
        0.5157E-03     -0.5000E+00    0.497490E+00       -0.12E+01        0.20E+00
        0.4899E-03     -0.1000E+01    0.502091E-02       -0.13E+01        0.33E+00
        0.4654E-03     -0.1000E+01    0.502091E-02       -0.73E+00        0.26E+00
        0.4421E-03     -0.1000E+01    0.502091E-02        0.00E+00        0.10E+01
        0.4200E-03     -0.1000E+01    0.502091E-02        0.00E+00        0.10E+01
        0.3990E-03     -0.2000E+01    0.101004E+01        0.00E+00        0.10E+01
        0.3791E-03     -0.1000E+01    0.502091E-02        0.00E+00        0.10E+01
        0.3601E-03     -0.1000E+01    0.502091E-02        0.00E+00        0.10E+01
        0.3421E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.3250E-03     -0.2000E+01    0.101004E+01        0.00E+00        0.10E+01
        0.3088E-03     -0.2000E+01    0.101004E+01        0.00E+00        0.10E+01
        0.2933E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2787E-03     -0.2000E+01    0.101004E+01        0.00E+00        0.10E+01
        0.2647E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2515E-03     -0.2000E+01    0.101004E+01        0.00E+00        0.10E+01
        0.2389E-03     -0.4000E+01    0.302008E+01        0.00E+00        0.10E+01
        0.2270E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2156E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.2048E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1946E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1849E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1756E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1668E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1585E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1506E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1430E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1359E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1291E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1226E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1165E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1107E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.1052E-03      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.9989E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.9490E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.9015E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.8565E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.8136E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.7730E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.7343E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6976E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6627E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.6296E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5981E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5682E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
        0.5398E-04      0.0000E+00    0.100000E+01        0.00E+00        0.10E+01
