              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.365375E-03   -0.100015E+00    0.182076E-02   -0.998334E-01    0.556260E-08   -0.998334E-01    0.119979E-11
    0.292300E-03   -0.999788E-01    0.145661E-02   -0.998334E-01    0.355911E-08   -0.998334E-01    0.311214E-11
    0.233840E-03   -0.999498E-01    0.116529E-02   -0.998334E-01    0.227602E-08   -0.998334E-01    0.375326E-12
    0.187072E-03   -0.999265E-01    0.932235E-03   -0.998334E-01    0.145566E-08   -0.998334E-01    0.275308E-11
    0.149658E-03   -0.999079E-01    0.745789E-03   -0.998334E-01    0.935508E-09   -0.998334E-01    0.418238E-11
    0.119726E-03   -0.998930E-01    0.596632E-03   -0.998334E-01    0.593692E-09   -0.998334E-01    0.771363E-12
    0.957810E-04   -0.998811E-01    0.477306E-03   -0.998334E-01    0.380057E-09   -0.998334E-01    0.851725E-11
    0.766248E-04   -0.998715E-01    0.381845E-03   -0.998334E-01    0.246535E-09   -0.998334E-01    0.243793E-10
    0.612998E-04   -0.998639E-01    0.305476E-03   -0.998334E-01    0.170340E-09   -0.998334E-01    0.101894E-11
    0.490399E-04   -0.998578E-01    0.244381E-03   -0.998334E-01    0.977741E-10   -0.998334E-01    0.231697E-10
    0.392319E-04   -0.998529E-01    0.195505E-03   -0.998334E-01    0.807664E-10   -0.998334E-01    0.326184E-10
    0.313855E-04   -0.998490E-01    0.156404E-03   -0.998334E-01    0.382472E-10   -0.998334E-01    0.382472E-10
    0.251084E-04   -0.998459E-01    0.125123E-03   -0.998334E-01    0.293891E-10   -0.998334E-01    0.296656E-10
    0.200867E-04   -0.998434E-01    0.100099E-03   -0.998334E-01    0.382902E-11   -0.998334E-01    0.699892E-10
    0.160694E-04   -0.998414E-01    0.800789E-04   -0.998334E-01    0.376938E-10   -0.998334E-01    0.545790E-10
    0.128555E-04   -0.998398E-01    0.640631E-04   -0.998334E-01    0.203927E-10   -0.998334E-01    0.949485E-10
    0.102844E-04   -0.998385E-01    0.512505E-04   -0.998334E-01    0.420192E-10   -0.998334E-01    0.102157E-09
    0.822752E-05   -0.998375E-01    0.410005E-04   -0.998334E-01    0.149862E-10   -0.998334E-01    0.195207E-09
    0.658202E-05   -0.998367E-01    0.328003E-04   -0.998334E-01    0.120179E-09   -0.998334E-01    0.120179E-09
    0.526561E-05   -0.998360E-01    0.262403E-04   -0.998334E-01    0.133256E-09   -0.998334E-01    0.429933E-09
    0.421249E-05   -0.998355E-01    0.209923E-04   -0.998334E-01    0.183538E-09   -0.998334E-01    0.183538E-09
    0.336999E-05   -0.998351E-01    0.167939E-04   -0.998334E-01    0.146456E-09   -0.998334E-01    0.293535E-09
    0.269599E-05   -0.998348E-01    0.134350E-04   -0.998334E-01    0.183538E-09   -0.998334E-01    0.183538E-09
    0.215680E-05   -0.998345E-01    0.107484E-04   -0.998334E-01    0.125831E-09   -0.998334E-01    0.561655E-09
    0.172544E-05   -0.998343E-01    0.859891E-05   -0.998334E-01    0.254735E-09   -0.998334E-01    0.604623E-09
    0.138035E-05   -0.998341E-01    0.687885E-05   -0.998334E-01    0.576994E-09   -0.998334E-01    0.157140E-08
