              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.365375E-03   -0.100000E+00    0.167127E-02   -0.998371E-01    0.372404E-04   -0.998371E-01    0.372404E-04
    0.292300E-03   -0.999187E-01    0.854216E-03   -0.997148E-01    0.118834E-02   -0.999867E-01    0.153507E-02
    0.233840E-03   -0.999187E-01    0.854216E-03   -0.999187E-01    0.854216E-03   -0.999187E-01    0.854216E-03
    0.187072E-03   -0.100046E+00    0.213084E-02   -0.997275E-01    0.106064E-02   -0.100152E+00    0.319469E-02
    0.149658E-03   -0.999665E-01    0.133297E-02   -0.999665E-01    0.133297E-02   -0.994355E-01    0.398622E-02
    0.119726E-03   -0.100066E+00    0.233025E-02   -0.100066E+00    0.233025E-02   -0.994023E-01    0.431870E-02
    0.957810E-04   -0.100191E+00    0.357695E-02   -0.995682E-01    0.265646E-02   -0.995682E-01    0.265646E-02
    0.766248E-04   -0.100346E+00    0.513530E-02   -0.995682E-01    0.265646E-02   -0.995682E-01    0.265646E-02
    0.612998E-04   -0.100152E+00    0.318730E-02   -0.100152E+00    0.318730E-02   -0.988552E-01    0.979894E-02
    0.490399E-04   -0.996654E-01    0.168254E-02   -0.996654E-01    0.168254E-02   -0.996654E-01    0.168254E-02
    0.392319E-04   -0.100273E+00    0.440474E-02   -0.100273E+00    0.440474E-02   -0.100273E+00    0.440474E-02
    0.313855E-04   -0.100653E+00    0.820931E-02   -0.987539E-01    0.108135E-01   -0.987539E-01    0.108135E-01
    0.251084E-04   -0.997034E-01    0.130215E-02   -0.997034E-01    0.130215E-02   -0.997034E-01    0.130215E-02
    0.200867E-04   -0.100890E+00    0.105872E-01   -0.100890E+00    0.105872E-01   -0.100890E+00    0.105872E-01
    0.160694E-04   -0.100149E+00    0.315641E-02   -0.100149E+00    0.315641E-02   -0.105094E+00    0.526950E-01
    0.128555E-04   -0.102003E+00    0.217333E-01   -0.102003E+00    0.217333E-01   -0.102003E+00    0.217333E-01
    0.102844E-04   -0.985258E-01    0.130985E-01   -0.985258E-01    0.130985E-01   -0.106253E+00    0.643056E-01
    0.822753E-05   -0.101424E+00    0.159280E-01   -0.101424E+00    0.159280E-01   -0.101424E+00    0.159280E-01
    0.658202E-05   -0.996124E-01    0.221353E-02   -0.996124E-01    0.221353E-02   -0.111687E+00    0.118730E+00
    0.526562E-05   -0.101876E+00    0.204634E-01   -0.101876E+00    0.204634E-01   -0.867836E-01    0.130716E+00
    0.421249E-05   -0.990465E-01    0.788273E-02   -0.990465E-01    0.788273E-02   -0.117912E+00    0.181092E+00
    0.336999E-05   -0.106121E+00    0.629828E-01   -0.106121E+00    0.629828E-01   -0.106121E+00    0.629828E-01
    0.269600E-05   -0.110543E+00    0.107274E+00   -0.884343E-01    0.114181E+00   -0.884343E-01    0.114181E+00
    0.215680E-05   -0.110543E+00    0.107274E+00   -0.110543E+00    0.107274E+00   -0.110543E+00    0.107274E+00
    0.172544E-05   -0.103634E+00    0.380691E-01   -0.103634E+00    0.380691E-01   -0.149694E+00    0.499433E+00
