   #x=  30.00
             #h           3-point     Error             5-point          Error
        0.6048E-02     -0.1543E+00    0.294446E-03       -0.15E+00        0.10E-03
        0.5746E-02     -0.1543E+00    0.294446E-03       -0.15E+00        0.13E-02
        0.5459E-02     -0.1543E+00    0.294446E-03       -0.15E+00        0.28E-02
        0.5186E-02     -0.1543E+00    0.294446E-03       -0.15E+00        0.38E-02
        0.4927E-02     -0.1543E+00    0.294446E-03       -0.15E+00        0.23E-02
        0.4680E-02     -0.1553E+00    0.662542E-02       -0.15E+00        0.12E-01
        0.4446E-02     -0.1553E+00    0.662542E-02       -0.15E+00        0.34E-02
        0.4224E-02     -0.1562E+00    0.129564E-01       -0.16E+00        0.11E-01
        0.4013E-02     -0.1562E+00    0.129564E-01       -0.15E+00        0.81E-02
        0.3812E-02     -0.1562E+00    0.129564E-01       -0.15E+00        0.73E-02
        0.3621E-02     -0.1543E+00    0.294446E-03       -0.15E+00        0.18E-02
        0.3440E-02     -0.1562E+00    0.129564E-01       -0.15E+00        0.12E-02
        0.3268E-02     -0.1562E+00    0.129564E-01       -0.16E+00        0.13E-01
        0.3105E-02     -0.1543E+00    0.294446E-03       -0.16E+00        0.15E-01
        0.2950E-02     -0.1562E+00    0.129564E-01       -0.16E+00        0.67E-02
        0.2802E-02     -0.1562E+00    0.129564E-01       -0.15E+00        0.16E-01
        0.2662E-02     -0.1562E+00    0.129564E-01       -0.16E+00        0.18E-01
        0.2529E-02     -0.1562E+00    0.129564E-01       -0.15E+00        0.33E-01
        0.2403E-02     -0.1562E+00    0.129564E-01       -0.15E+00        0.18E-01
        0.2282E-02     -0.1602E+00    0.382803E-01       -0.15E+00        0.11E-01
        0.2168E-02     -0.1562E+00    0.129564E-01       -0.15E+00        0.14E-01
        0.2060E-02     -0.1562E+00    0.129564E-01       -0.15E+00        0.29E-01
        0.1957E-02     -0.1562E+00    0.129564E-01       -0.15E+00        0.58E-01
        0.1859E-02     -0.1562E+00    0.129564E-01       -0.16E+00        0.44E-01
