   #x=   1.00
             #h           3-point     Error             5-point          Error
        0.6048E-02     -0.5371E+00    0.590947E-02       -0.54E+00        0.29E-02
        0.5746E-02     -0.5332E+00    0.131392E-01       -0.53E+00        0.11E-01
        0.5459E-02     -0.5352E+00    0.952435E-02       -0.54E+00        0.29E-02
        0.5186E-02     -0.5391E+00    0.229460E-02       -0.53E+00        0.15E-01
        0.4927E-02     -0.5391E+00    0.229460E-02       -0.54E+00        0.61E-02
        0.4680E-02     -0.5352E+00    0.952435E-02       -0.54E+00        0.62E-02
        0.4446E-02     -0.5391E+00    0.229460E-02       -0.53E+00        0.18E-01
        0.4224E-02     -0.5391E+00    0.229460E-02       -0.54E+00        0.58E-02
        0.4013E-02     -0.5391E+00    0.229460E-02       -0.53E+00        0.13E-01
        0.3812E-02     -0.5312E+00    0.167541E-01       -0.53E+00        0.28E-01
        0.3621E-02     -0.5312E+00    0.167541E-01       -0.53E+00        0.13E-01
        0.3440E-02     -0.5469E+00    0.121649E-01       -0.54E+00        0.58E-02
        0.3268E-02     -0.5391E+00    0.229460E-02       -0.54E+00        0.86E-02
        0.3105E-02     -0.5312E+00    0.167541E-01       -0.53E+00        0.24E-01
        0.2950E-02     -0.5312E+00    0.167541E-01       -0.53E+00        0.19E-01
        0.2802E-02     -0.5469E+00    0.121649E-01       -0.53E+00        0.26E-01
        0.2662E-02     -0.5156E+00    0.456731E-01       -0.52E+00        0.45E-01
        0.2529E-02     -0.5469E+00    0.121649E-01       -0.55E+00        0.12E-01
        0.2403E-02     -0.5312E+00    0.167541E-01       -0.55E+00        0.19E-01
        0.2282E-02     -0.5312E+00    0.167541E-01       -0.52E+00        0.40E-01
        0.2168E-02     -0.5312E+00    0.167541E-01       -0.54E+00        0.11E-02
        0.2060E-02     -0.5312E+00    0.167541E-01       -0.52E+00        0.29E-01
        0.1957E-02     -0.5625E+00    0.410839E-01       -0.54E+00        0.13E-02
        0.1859E-02     -0.5625E+00    0.410839E-01       -0.55E+00        0.21E-01
        0.1766E-02     -0.5312E+00    0.167541E-01       -0.51E+00        0.57E-01
        0.1678E-02     -0.5000E+00    0.745921E-01       -0.51E+00        0.59E-01
        0.1594E-02     -0.5625E+00    0.410839E-01       -0.50E+00        0.74E-01
        0.1514E-02     -0.5000E+00    0.745921E-01       -0.55E+00        0.26E-01
        0.1438E-02     -0.5312E+00    0.167541E-01       -0.54E+00        0.48E-02
        0.1367E-02     -0.5000E+00    0.745921E-01       -0.51E+00        0.55E-01
        0.1298E-02     -0.4375E+00    0.190268E+00       -0.38E+00        0.30E+00
        0.1233E-02     -0.4375E+00    0.190268E+00       -0.52E+00        0.33E-01
        0.1172E-02     -0.5000E+00    0.745921E-01       -0.46E+00        0.14E+00
        0.1113E-02     -0.5000E+00    0.745921E-01       -0.51E+00        0.50E-01
        0.1057E-02     -0.4375E+00    0.190268E+00       -0.43E+00        0.21E+00
        0.1005E-02     -0.3750E+00    0.305944E+00       -0.47E+00        0.13E+00
        0.9543E-03     -0.5000E+00    0.745921E-01       -0.35E+00        0.35E+00
        0.9066E-03     -0.3750E+00    0.305944E+00       -0.39E+00        0.28E+00
        0.8613E-03     -0.5000E+00    0.745921E-01       -0.43E+00        0.21E+00
        0.8182E-03     -0.5000E+00    0.745921E-01       -0.47E+00        0.12E+00
        0.7773E-03     -0.3750E+00    0.305944E+00       -0.53E+00        0.26E-01
