   n-point          exact    Gauss-Legendre absolute error
         2       6.493939     10.589338   0.630649E+00
         4       6.493939      4.421099   0.319196E+00
         6       6.493939      6.590722   0.149035E-01
         8       6.493939      6.830087   0.517632E-01
        10       6.493939      6.296264   0.304401E-01
