              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.187072E-03    0.988017E+00    0.146087E-04    0.988032E+00    0.146343E-08    0.988032E+00    0.456306E-10
    0.149658E-03    0.988020E+00    0.116860E-04    0.988032E+00    0.919458E-09    0.988032E+00    0.135702E-10
    0.119726E-03    0.988022E+00    0.934821E-05    0.988032E+00    0.595335E-09    0.988032E+00    0.775773E-10
    0.957810E-04    0.988024E+00    0.747819E-05    0.988032E+00    0.350554E-09    0.988032E+00    0.307257E-10
    0.766248E-04    0.988026E+00    0.598229E-05    0.988032E+00    0.231551E-09    0.988032E+00    0.110812E-09
    0.612998E-04    0.988027E+00    0.478569E-05    0.988032E+00    0.213037E-09    0.988032E+00    0.973638E-10
    0.490399E-04    0.988028E+00    0.382842E-05    0.988032E+00    0.697135E-10    0.988032E+00    0.163658E-09
    0.392319E-04    0.988029E+00    0.306268E-05    0.988032E+00    0.142034E-09    0.988032E+00    0.164433E-09
    0.313855E-04    0.988029E+00    0.245010E-05    0.988032E+00    0.290780E-10    0.988032E+00    0.126913E-10
    0.251084E-04    0.988030E+00    0.196008E-05    0.988032E+00    0.989149E-10    0.988032E+00    0.125767E-09
    0.200867E-04    0.988030E+00    0.156809E-05    0.988032E+00    0.108984E-09    0.988032E+00    0.123902E-09
    0.160694E-04    0.988030E+00    0.125438E-05    0.988032E+00    0.257719E-10    0.988032E+00    0.552285E-09
    0.128555E-04    0.988031E+00    0.100344E-05    0.988032E+00    0.192311E-09    0.988032E+00    0.183570E-09
    0.102844E-04    0.988031E+00    0.802794E-06    0.988032E+00    0.327793E-09    0.988032E+00    0.604557E-09
    0.822752E-05    0.988031E+00    0.642143E-06    0.988032E+00    0.327110E-09    0.988032E+00    0.322558E-09
    0.658202E-05    0.988031E+00    0.513691E-06    0.988032E+00    0.107368E-09    0.988032E+00    0.113059E-09
    0.526561E-05    0.988031E+00    0.411196E-06    0.988032E+00    0.159379E-09    0.988032E+00    0.163316E-08
    0.421249E-05    0.988031E+00    0.328654E-06    0.988032E+00    0.179390E-09    0.988032E+00    0.207907E-08
    0.336999E-05    0.988031E+00    0.263099E-06    0.988032E+00    0.102298E-08    0.988032E+00    0.102298E-08
    0.269599E-05    0.988031E+00    0.210481E-06    0.988032E+00    0.315074E-10    0.988032E+00    0.315074E-10
    0.215680E-05    0.988031E+00    0.168064E-06    0.988032E+00    0.134701E-08    0.988032E+00    0.136438E-08
    0.172544E-05    0.988031E+00    0.134809E-06    0.988032E+00    0.193523E-08    0.988032E+00    0.193523E-08
    0.138035E-05    0.988032E+00    0.108897E-06    0.988032E+00    0.113780E-08    0.988032E+00    0.572734E-08
    0.110428E-05    0.988032E+00    0.854122E-07    0.988032E+00    0.243010E-08    0.988032E+00    0.611741E-08
    0.883424E-06    0.988032E+00    0.697672E-07    0.988032E+00    0.827444E-09    0.988032E+00    0.994174E-08
