              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.187072E-03    0.987159E+00    0.883001E-03    0.987159E+00    0.883001E-03    0.101403E+01    0.263127E-01
    0.149658E-03    0.982141E+00    0.596208E-02    0.982240E+00    0.586128E-02    0.101583E+01    0.281332E-01
    0.119726E-03    0.991575E+00    0.358630E-02    0.975893E+00    0.122856E-01    0.101788E+01    0.302075E-01
    0.957810E-04    0.983703E+00    0.438116E-02    0.983703E+00    0.438116E-02    0.103660E+01    0.491551E-01
    0.766248E-04    0.983625E+00    0.445989E-02    0.983820E+00    0.426310E-02    0.983560E+00    0.452553E-02
    0.612998E-04    0.983771E+00    0.431233E-02    0.983771E+00    0.431233E-02    0.983447E+00    0.464039E-02
    0.490399E-04    0.999085E+00    0.111876E-01    0.999389E+00    0.114951E-01    0.896077E+00    0.930680E-01
    0.392319E-04    0.100843E+01    0.206444E-01    0.960571E+00    0.277929E-01    0.961078E+00    0.272804E-01
    0.313855E-04    0.960476E+00    0.278891E-01    0.960476E+00    0.278891E-01    0.959843E+00    0.285298E-01
    0.251084E-04    0.975669E+00    0.125122E-01    0.105104E+01    0.637719E-01    0.850842E+00    0.138851E+00
    0.200867E-04    0.103190E+01    0.444005E-01    0.938429E+00    0.502037E-01    0.118868E+01    0.203075E+00
    0.160694E-04    0.937502E+00    0.511422E-01    0.937502E+00    0.511422E-01    0.938738E+00    0.498907E-01
    0.128555E-04    0.102583E+01    0.382533E-01    0.879777E+00    0.109566E+00    0.127079E+01    0.286183E+00
    0.102844E-04    0.915710E+00    0.731977E-01    0.109972E+01    0.113043E+00    0.610956E+00    0.381643E+00
    0.822753E-05    0.914623E+00    0.742976E-01    0.916434E+00    0.724645E-01    0.916434E+00    0.724645E-01
    0.658202E-05    0.858025E+00    0.131581E+00    0.114554E+01    0.159419E+00    0.114554E+01    0.159419E+00
    0.526562E-05    0.107253E+01    0.855235E-01    0.715964E+00    0.275363E+00    0.167058E+01    0.690820E+00
    0.421249E-05    0.894956E+00    0.942036E-01    0.894956E+00    0.942036E-01    0.208823E+01    0.111352E+01
    0.336999E-05    0.111869E+01    0.132246E+00    0.111869E+01    0.132246E+00   -0.372898E+00    0.137742E+01
    0.269600E-05    0.696420E+00    0.295144E+00    0.139837E+01    0.415307E+00   -0.466123E+00    0.147177E+01
    0.215680E-05    0.870526E+00    0.118929E+00    0.174796E+01    0.769134E+00   -0.582653E+00    0.158971E+01
    0.172544E-05    0.108816E+01    0.101338E+00    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.138035E-05    0.136020E+01    0.376673E+00    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.110428E-05    0.170025E+01    0.720841E+00    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.883424E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.706739E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.565391E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.452313E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.361850E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.289480E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.231584E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.185267E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.148214E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
    0.118571E-06    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01    0.000000E+00    0.100000E+01
