 #     x               legendre p( 3 ,x)
  -.752999             0.062108084
  -.751999             0.064854980
  -.750999             0.067590596
  -.749999             0.070314947
  -.748999             0.073028048
  -.747999             0.075729914
  -.746999             0.078420560
  -.745999             0.081100001
  -.744999             0.083768253
  -.743999             0.086425329
  -.742999             0.089071246
  -.741999             0.091706017
  -.740999             0.094329659
  -.739999             0.096942186
  -.738999             0.099543612
  -.737999             0.102133954
  -.736999             0.104713226
  -.735999             0.107281443
  -.734999             0.109838620
  -.733999             0.112384773
  -.732999             0.114919915
  -.731999             0.117444062
  -.730999             0.119957229
  -.729999             0.122459432
  -.728999             0.124950684
  -.727999             0.127431002
  -.726999             0.129900400
  -.725999             0.132358892
  -.724999             0.134806495
  -.723999             0.137243223
  -.722999             0.139669091
  -.721999             0.142084114
  -.720999             0.144488307
  -.719999             0.146881686
  -.718999             0.149264264
  -.717999             0.151636057
  -.716999             0.153997081
  -.715999             0.156347349
  -.714999             0.158686878
  -.713999             0.161015681
  -.712999             0.163333775
  -.711999             0.165641174
  -.710999             0.167937893
  -.709999             0.170223946
  -.708999             0.172499350
  -.707999             0.174764119
  -.706999             0.177018269
  -.705999             0.179261813
  -.704999             0.181494767
  -.703999             0.183717146
  -.702999             0.185928966
  -.701999             0.188130240
  -.700999             0.190320985
  -.699999             0.192501215
  -.698999             0.194670944
  -.697999             0.196830189
  -.696999             0.198978964
  -.695999             0.201117284
  -.694999             0.203245164
  -.693999             0.205362619
  -.692999             0.207469664
  -.691999             0.209566314
  -.690999             0.211652584
  -.689999             0.213728490
  -.688999             0.215794045
  -.687999             0.217849266
  -.686999             0.219894166
  -.685999             0.221928762
  -.684999             0.223953068
  -.683999             0.225967098
  -.682999             0.227970869
  -.681999             0.229964395
  -.680999             0.231947691
  -.679999             0.233920772
  -.678999             0.235883653
  -.677999             0.237836349
  -.676999             0.239778876
  -.675999             0.241711247
  -.674999             0.243633478
  -.673999             0.245545585
  -.672999             0.247447581
  -.671999             0.249339483
  -.670999             0.251221305
  -.669999             0.253093061
  -.668999             0.254954768
  -.667999             0.256806440
  -.666999             0.258648092
  -.665999             0.260479739
  -.664999             0.262301396
  -.663999             0.264113078
  -.662999             0.265914801
  -.661999             0.267706578
  -.660999             0.269488425
  -.659999             0.271260358
  -.658999             0.273022390
  -.657999             0.274774538
  -.656999             0.276516815
  -.655999             0.278249238
  -.654999             0.279971821
  -.653999             0.281684579
  -.652999             0.283387527
  -.651999             0.285080680
  -.650999             0.286764053
  -.649999             0.288437661
  -.648999             0.290101519
  -.647999             0.291755642
  -.646999             0.293400046
  -.645999             0.295034744
  -.644999             0.296659752
  -.643999             0.298275086
  -.642999             0.299880760
  -.641999             0.301476788
  -.640999             0.303063187
  -.639999             0.304639971
  -.638999             0.306207155
  -.637999             0.307764754
  -.636999             0.309312783
  -.635999             0.310851257
  -.634999             0.312380191
  -.633999             0.313899600
  -.632999             0.315409499
  -.631999             0.316909904
  -.630999             0.318400828
  -.629999             0.319882287
  -.628999             0.321354297
  -.627999             0.322816872
  -.626999             0.324270026
  -.625999             0.325713776
  -.624999             0.327148136
  -.623999             0.328573121
  -.622999             0.329988746
  -.621999             0.331395026
  -.620999             0.332791976
  -.619999             0.334179611
  -.618999             0.335557946
  -.617999             0.336926996
  -.616999             0.338286777
  -.615999             0.339637302
  -.614999             0.340978587
  -.613999             0.342310648
  -.612999             0.343633498
  -.611999             0.344947154
  -.610999             0.346251630
  -.609999             0.347546941
  -.608999             0.348833101
  -.607999             0.350110127
  -.606999             0.351378033
  -.605999             0.352636834
  -.604999             0.353886546
  -.603999             0.355127182
  -.602999             0.356358758
  -.601999             0.357581289
  -.600999             0.358794791
  -.599999             0.359999277
  -.598999             0.361194764
  -.597999             0.362381265
  -.596999             0.363558797
  -.595999             0.364727373
  -.594999             0.365887010
  -.593999             0.367037722
  -.592999             0.368179524
  -.591999             0.369312431
  -.590999             0.370436458
  -.589999             0.371551620
  -.588999             0.372657932
  -.587999             0.373755409
  -.586999             0.374844066
  -.585999             0.375923919
  -.584999             0.376994981
  -.583999             0.378057269
  -.582999             0.379110796
  -.581999             0.380155579
  -.580999             0.381191631
  -.579999             0.382218969
  -.578999             0.383237607
  -.577999             0.384247560
  -.576999             0.385248842
  -.575999             0.386241470
  -.574999             0.387225458
  -.573999             0.388200821
  -.572999             0.389167575
  -.571999             0.390125733
  -.570999             0.391075311
  -.569999             0.392016324
  -.568999             0.392948788
  -.567999             0.393872716
  -.566999             0.394788125
  -.565999             0.395695028
  -.564999             0.396593442
  -.563999             0.397483381
  -.562999             0.398364859
  -.561999             0.399237893
  -.560999             0.400102497
  -.559999             0.400958686
  -.558999             0.401806475
  -.557999             0.402645879
  -.556999             0.403476913
  -.555999             0.404299592
  -.554999             0.405113932
  -.553999             0.405919946
  -.552999             0.406717650
  -.551999             0.407507060
  -.550999             0.408288189
  -.549999             0.409061054
  -.548999             0.409825668
  -.547999             0.410582048
  -.546999             0.411330208
  -.545999             0.412070163
  -.544999             0.412801927
  -.543999             0.413525517
  -.542999             0.414240947
  -.541999             0.414948232
  -.540999             0.415647387
  -.539999             0.416338428
  -.538999             0.417021368
  -.537999             0.417696223
  -.536999             0.418363008
  -.535999             0.419021739
  -.534999             0.419672429
  -.533999             0.420315095
  -.532999             0.420949750
  -.531999             0.421576411
  -.530999             0.422195092
  -.529999             0.422805807
  -.528999             0.423408573
  -.527999             0.424003404
  -.526999             0.424590315
  -.525999             0.425169321
  -.524999             0.425740437
  -.523999             0.426303678
  -.522999             0.426859059
  -.521999             0.427406595
  -.520999             0.427946302
  -.519999             0.428478193
  -.518999             0.429002284
  -.517999             0.429518591
  -.516999             0.430027127
  -.515999             0.430527909
  -.514999             0.431020951
  -.513999             0.431506267
  -.512999             0.431983874
  -.511999             0.432453786
  -.510999             0.432916018
  -.509999             0.433370584
  -.508999             0.433817501
  -.507999             0.434256783
  -.506999             0.434688446
  -.505999             0.435112503
  -.504999             0.435528970
  -.503999             0.435937862
  -.502999             0.436339194
  -.501999             0.436732982
  -.500999             0.437119239
  -.499999             0.437497982
  -.498999             0.437869224
  -.497999             0.438232982
  -.496999             0.438589269
  -.495999             0.438938102
  -.494999             0.439279495
  -.493999             0.439613463
  -.492999             0.439940021
  -.491999             0.440259184
  -.490999             0.440570967
  -.489999             0.440875385
  -.488999             0.441172453
  -.487999             0.441462186
  -.486999             0.441744599
  -.485999             0.442019707
  -.484999             0.442287526
  -.483999             0.442548069
  -.482999             0.442801352
  -.481999             0.443047391
  -.480999             0.443286199
  -.479999             0.443517793
  -.478999             0.443742187
  -.477999             0.443959395
  -.476999             0.444169434
  -.475999             0.444372318
  -.474999             0.444568062
  -.473999             0.444756681
  -.472999             0.444938190
  -.471999             0.445112604
  -.470999             0.445279938
  -.469999             0.445440207
  -.468999             0.445593426
  -.467999             0.445739610
  -.466999             0.445878775
  -.465999             0.446010934
  -.464999             0.446136104
  -.463999             0.446254298
  -.462999             0.446365533
  -.461999             0.446469822
  -.460999             0.446567182
  -.459999             0.446657626
  -.458999             0.446741171
  -.457999             0.446817831
  -.456999             0.446887621
  -.455999             0.446950556
  -.454999             0.447006651
  -.453999             0.447055921
  -.452999             0.447098381
  -.451999             0.447134046
  -.450999             0.447162931
  -.449999             0.447185051
  -.448999             0.447200421
  -.447999             0.447209057
  -.446999             0.447210972
  -.445999             0.447206183
  -.444999             0.447194703
  -.443999             0.447176549
  -.442999             0.447151734
  -.441999             0.447120275
  -.440999             0.447082185
  -.439999             0.447037481
  -.438999             0.446986177
  -.437999             0.446928288
  -.436999             0.446863829
  -.435999             0.446792815
  -.434999             0.446715261
  -.433999             0.446631182
  -.432999             0.446540593
  -.431999             0.446443509
  -.430999             0.446339945
  -.429999             0.446229916
  -.428999             0.446113438
  -.427999             0.445990524
  -.426999             0.445861190
  -.425999             0.445725452
  -.424999             0.445583323
  -.423999             0.445434820
  -.422999             0.445279957
  -.421999             0.445118748
  -.420999             0.444951210
  -.419999             0.444777357
  -.418999             0.444597204
  -.417999             0.444410765
  -.416999             0.444218057
  -.415999             0.444019094
  -.414999             0.443813891
  -.413999             0.443602463
  -.412999             0.443384825
  -.411999             0.443160993
  -.410999             0.442930980
  -.409999             0.442694802
  -.408999             0.442452474
  -.407999             0.442204012
  -.406999             0.441949429
  -.405999             0.441688742
  -.404999             0.441421964
  -.403999             0.441149112
  -.402999             0.440870199
  -.401999             0.440585242
  -.400999             0.440294255
  -.399999             0.439997252
  -.398999             0.439694250
  -.397999             0.439385263
  -.396999             0.439070306
  -.395999             0.438749394
  -.394999             0.438422542
  -.393999             0.438089765
  -.392999             0.437751078
  -.391999             0.437406496
  -.390999             0.437056034
  -.389999             0.436699708
  -.388999             0.436337531
  -.387999             0.435969519
  -.386999             0.435595688
  -.385999             0.435216051
  -.384999             0.434830624
  -.383999             0.434439423
  -.382999             0.434042462
  -.381999             0.433639755
  -.380999             0.433231319
  -.379999             0.432817168
  -.378999             0.432397316
  -.377999             0.431971780
  -.376999             0.431540574
  -.375999             0.431103713
  -.374999             0.430661212
  -.373999             0.430213086
  -.372999             0.429759350
  -.371999             0.429300019
  -.370999             0.428835108
  -.369999             0.428364632
  -.368999             0.427888606
  -.367999             0.427407046
  -.366999             0.426919965
  -.365999             0.426427379
  -.364999             0.425929304
  -.363999             0.425425753
  -.362999             0.424916743
  -.361999             0.424402287
  -.360999             0.423882402
  -.359999             0.423357102
  -.358999             0.422826401
  -.357999             0.422290316
  -.356999             0.421748861
  -.355999             0.421202051
  -.354999             0.420649900
  -.353999             0.420092425
  -.352999             0.419529640
  -.351999             0.418961560
  -.350999             0.418388200
  -.349999             0.417809575
  -.348999             0.417225701
  -.347999             0.416636591
  -.346999             0.416042261
  -.345999             0.415442726
  -.344999             0.414838002
  -.343999             0.414228102
  -.342999             0.413613042
  -.341999             0.412992838
  -.340999             0.412367503
  -.339999             0.411737054
  -.338999             0.411101504
  -.337999             0.410460870
  -.336999             0.409815166
  -.335999             0.409164406
  -.334999             0.408508607
  -.333999             0.407847783
  -.332999             0.407181949
  -.331999             0.406511120
  -.330999             0.405835311
  -.329999             0.405154537
  -.328999             0.404468813
  -.327999             0.403778154
  -.326999             0.403082575
  -.325999             0.402382091
  -.324999             0.401676717
  -.323999             0.400966468
  -.322999             0.400251360
  -.321999             0.399531406
  -.320999             0.398806622
  -.319999             0.398077024
  -.318999             0.397342625
  -.317999             0.396603442
  -.316999             0.395859488
  -.315999             0.395110780
  -.314999             0.394357331
  -.313999             0.393599158
  -.312999             0.392836275
  -.311999             0.392068696
  -.310999             0.391296438
  -.309999             0.390519515
  -.308999             0.389737942
  -.307999             0.388951734
  -.306999             0.388160906
  -.305999             0.387365473
  -.304999             0.386565450
  -.303999             0.385760852
  -.302999             0.384951694
  -.301999             0.384137991
  -.300999             0.383319758
  -.299999             0.382497010
  -.298999             0.381669763
  -.297999             0.380838030
  -.296999             0.380001827
  -.295999             0.379161170
  -.294999             0.378316072
  -.293999             0.377466550
  -.292999             0.376612617
  -.291999             0.375754290
  -.290999             0.374891582
  -.289999             0.374024510
  -.288999             0.373153088
  -.287999             0.372277330
  -.286999             0.371397253
  -.285999             0.370512871
  -.284999             0.369624199
  -.283999             0.368731252
  -.282999             0.367834045
  -.281999             0.366932592
  -.280999             0.366026910
  -.279999             0.365117013
  -.278999             0.364202917
