 #     x               legendre p( 5 ,x)
  -.998999            -0.985026119
  -.898999             0.047560374
  -.798999             0.400699973
  -.698999             0.363650157
  -.598999             0.150161919
  -.498999            -0.092068510
  -.398999            -0.271949648
  -.298999            -0.345544843
  -.198999            -0.306622365
  -.098999            -0.177205513
  0.001001             0.001877274
  0.101001             0.180442300
  0.201001             0.308400493
  0.301001             0.345207283
  0.401001             0.269312472
  0.501001             0.087610111
  0.601001            -0.155111643
  0.701001            -0.366720672
  0.801001            -0.398291064
  0.901001            -0.034653366
