gauss points     final           1st     1st error           2nd     2nd error           3rd     3rd error
          71     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48147    -0.815E-02
          72     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48164    -0.804E-02
          73     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48180    -0.793E-02
          74     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48196    -0.783E-02
          75     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48212    -0.772E-02
          76     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48227    -0.762E-02
          77     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48241    -0.752E-02
          78     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48256    -0.743E-02
          79     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48270    -0.733E-02
          80     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48283    -0.724E-02
          81     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48296    -0.715E-02
          82     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48309    -0.707E-02
          83     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48322    -0.698E-02
          84     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48334    -0.690E-02
          85     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48346    -0.682E-02
          86     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48358    -0.674E-02
          87     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48370    -0.666E-02
          88     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48381    -0.659E-02
          89     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48392    -0.651E-02
          90     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48403    -0.644E-02
          91     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48413    -0.637E-02
          92     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48424    -0.630E-02
          93     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48434    -0.624E-02
          94     0.368       0.78540    -0.234E-05       0.31606     0.884E-06       1.48443    -0.617E-02
          95     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48453    -0.611E-02
          96     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48463    -0.604E-02
          97     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48472    -0.598E-02
          98     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48481    -0.592E-02
          99     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48490    -0.586E-02
         100     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48498    -0.580E-02
         101     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48507    -0.574E-02
         102     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48515    -0.569E-02
         103     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48524    -0.563E-02
         104     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48532    -0.558E-02
         105     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48540    -0.553E-02
         106     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48547    -0.547E-02
         107     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48555    -0.542E-02
         108     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48562    -0.537E-02
         109     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48570    -0.532E-02
         110     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48577    -0.528E-02
         111     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48584    -0.523E-02
         112     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48591    -0.518E-02
         113     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48598    -0.514E-02
         114     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48604    -0.509E-02
         115     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48611    -0.505E-02
         116     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48617    -0.500E-02
         117     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48624    -0.496E-02
         118     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48630    -0.492E-02
         119     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48636    -0.488E-02
         120     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48642    -0.484E-02
         121     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48648    -0.480E-02
         122     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48654    -0.476E-02
         123     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48660    -0.472E-02
         124     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48665    -0.468E-02
         125     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48671    -0.465E-02
         126     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48677    -0.461E-02
         127     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48682    -0.457E-02
         128     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48687    -0.454E-02
         129     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48692    -0.450E-02
         130     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48698    -0.447E-02
         131     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48703    -0.443E-02
         132     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48708    -0.440E-02
         133     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48713    -0.437E-02
         134     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48717    -0.434E-02
         135     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48722    -0.430E-02
         136     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48727    -0.427E-02
         137     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48732    -0.424E-02
         138     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48736    -0.421E-02
         139     0.369       0.78540    -0.234E-05       0.31606     0.884E-06       1.48741    -0.418E-02
